lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847591384784038479353,2024,Howden/Eichel/Stone,VGK,line,5on5,10,1302.0,123.0,0.64,0.53,0.59,11.74,0.64,0.65,2.57,0.34,6.27,5.52,0.64,0.65,0.65,12.0,4.0,5.0,21.0,5.0,0.0,0.0,1.0,0.0,3.0,7.0,7.0,11.0,0.0,0.0,12.0,7.0,1.0,6.0,13.0,3.0,0.0,0.27,0.37,0.0,3.0,2.0,0.0,22.03,16.0,16.68,5.0,0.13,0.0,0.0,0.77,0.79,0.79,7.09,0.36,0.52,1.84,0.31,4.45,3.52,0.36,0.36,0.36,8.0,3.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,11.0,1.0,2.0,13.0,2.0,3.0,6.0,9.0,2.0,0.0,0.13,0.23,0.0,0.0,0.0,0.0,18.23,11.0,10.69,3.0,0.1,0.0,0.0,0.46,0.46,0.46
84769178477950,2024,Pelech/Deangelo,NYI,pairing,5on5,9,1388.0,62.0,0.59,0.6,0.58,15.27,1.65,1.16,3.72,0.69,8.55,6.23,1.54,1.64,1.54,12.0,10.0,5.0,27.0,1.0,3.0,0.0,2.0,0.0,8.0,8.0,11.0,21.0,0.0,0.0,7.0,9.0,6.0,3.0,16.0,3.0,3.0,0.54,0.36,0.76,1.0,0.0,0.0,26.25,22.0,21.41,1.0,0.24,0.58,0.58,1.31,1.3,1.27,11.34,1.16,0.82,3.14,0.44,5.98,4.46,1.07,1.2,1.11,10.0,6.0,2.0,18.0,0.0,4.0,0.0,3.0,0.0,2.0,7.0,10.0,16.0,1.0,2.0,10.0,4.0,2.0,2.0,10.0,6.0,0.0,0.24,0.92,0.0,0.0,0.0,0.0,18.58,16.0,16.43,1.0,0.17,0.51,0.51,0.82,0.84,0.79
847851984795428483447,2024,Hagel/Cirelli/Geekie,TBL,line,5on5,32,12526.0,144.0,0.57,0.52,0.5,116.02,11.93,8.2,28.45,3.94,59.51,43.95,11.29,12.11,11.44,105.0,51.0,75.0,231.0,10.0,15.0,2.0,30.0,0.0,49.0,52.0,95.0,146.0,12.0,24.0,126.0,67.0,21.0,55.0,101.0,41.0,14.0,2.78,5.1,4.05,3.0,4.0,3.0,234.15,156.0,158.24,25.0,1.74,3.35,3.35,10.33,10.43,10.23,116.87,8.85,7.16,29.63,3.91,61.15,47.31,8.31,8.82,8.31,106.0,52.0,57.0,215.0,12.0,9.0,1.0,24.0,0.0,51.0,62.0,94.0,146.0,18.0,39.0,124.0,100.0,15.0,56.0,123.0,27.0,8.0,3.22,3.46,2.17,7.0,2.0,3.0,211.85,158.0,156.4,26.0,1.48,1.73,1.73,8.6,8.62,8.47
84745748477369,2024,Soucy/Myers,VAN,pairing,5on5,50,15296.0,309.0,0.43,0.4,0.39,87.0,6.63,5.28,20.81,2.84,46.92,37.54,6.42,6.74,6.53,79.0,41.0,55.0,175.0,8.0,9.0,1.0,15.0,0.0,44.0,44.0,71.0,112.0,15.0,35.0,130.0,125.0,29.0,75.0,94.0,21.0,5.0,2.43,2.73,1.47,5.0,2.0,1.0,176.32,120.0,121.4,43.0,1.09,1.51,1.51,6.2,6.31,6.25,136.42,8.91,8.01,36.13,4.54,75.31,56.08,8.65,8.94,8.67,122.0,67.0,77.0,266.0,14.0,8.0,2.0,29.0,0.0,70.0,68.0,108.0,175.0,8.0,19.0,112.0,92.0,21.0,51.0,160.0,24.0,5.0,4.32,3.08,1.52,8.0,4.0,2.0,266.7,189.0,189.74,17.0,1.65,1.51,1.51,9.05,9.09,8.9
847690584792938480009,2024,Tanev/Stephenson/Tolvanen,SEA,line,5on5,9,679.0,105.0,0.51,0.52,0.45,7.51,0.58,0.51,1.56,0.2,4.15,2.99,0.53,0.53,0.48,5.0,5.0,6.0,16.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,4.0,9.0,0.0,0.0,8.0,9.0,0.0,3.0,8.0,1.0,1.0,0.22,0.13,0.23,1.0,0.0,0.0,14.33,10.0,9.04,2.0,0.11,0.0,0.0,0.69,0.63,0.57,8.96,0.55,0.53,2.31,0.31,4.75,3.55,0.54,0.59,0.58,7.0,5.0,3.0,15.0,1.0,1.0,0.0,2.0,0.0,2.0,6.0,6.0,11.0,1.0,2.0,2.0,2.0,0.0,5.0,10.0,2.0,0.0,0.26,0.29,0.0,0.0,1.0,0.0,15.79,12.0,12.5,3.0,0.11,0.2,0.2,0.46,0.48,0.47
84784168482929,2024,Lilleberg/Cernak,TBL,pairing,5on5,32,1871.0,258.0,0.26,0.49,0.46,12.43,0.71,0.67,2.85,0.4,6.73,5.64,0.71,0.7,0.7,11.0,6.0,9.0,26.0,0.0,0.0,0.0,4.0,0.0,4.0,9.0,11.0,17.0,2.0,4.0,3.0,12.0,2.0,6.0,15.0,1.0,1.0,0.25,0.15,0.31,0.0,0.0,0.0,26.42,17.0,17.16,4.0,0.14,0.0,0.0,0.85,0.84,0.84,15.27,2.0,0.98,3.5,0.47,7.36,5.69,1.99,1.95,1.95,16.0,4.0,7.0,27.0,4.0,1.0,0.0,5.0,0.0,3.0,7.0,12.0,16.0,2.0,4.0,4.0,16.0,0.0,1.0,11.0,7.0,2.0,0.39,0.94,0.67,1.0,2.0,1.0,26.38,20.0,19.84,1.0,0.21,0.44,0.44,1.77,1.76,1.76
847750084784458484958,2024,Barzal/Horvat/Tsyplakov,NYI,line,5on5,9,894.0,79.0,0.75,0.66,0.68,10.65,0.82,0.71,2.48,0.33,6.12,4.55,0.79,0.82,0.79,9.0,6.0,6.0,21.0,0.0,2.0,0.0,2.0,0.0,5.0,6.0,9.0,15.0,0.0,0.0,7.0,6.0,1.0,5.0,13.0,1.0,1.0,0.47,0.1,0.24,0.0,0.0,0.0,20.7,15.0,14.68,3.0,0.15,0.35,0.35,0.61,0.6,0.59,4.5,0.28,0.33,1.04,0.19,2.83,2.33,0.28,0.27,0.27,4.0,3.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,7.0,0.0,0.0,1.0,4.0,2.0,2.0,6.0,1.0,0.0,0.15,0.12,0.0,0.0,0.0,0.0,10.92,7.0,6.88,2.0,0.07,0.0,0.0,0.35,0.33,0.33
848028984808458481019,2024,Barron/Kupari/Gustafsson,WPG,line,5on5,8,2618.0,33.0,0.67,0.56,0.57,25.34,1.88,1.81,6.88,0.93,14.25,10.26,1.82,1.83,1.77,24.0,12.0,15.0,51.0,2.0,3.0,0.0,7.0,0.0,14.0,10.0,22.0,34.0,5.0,12.0,24.0,33.0,2.0,7.0,28.0,7.0,1.0,0.75,0.89,0.23,0.0,1.0,1.0,51.07,36.0,35.39,4.0,0.38,0.36,0.36,1.9,1.87,1.82,17.93,0.93,0.99,5.3,0.67,11.06,8.05,0.91,0.93,0.91,16.0,11.0,13.0,40.0,1.0,1.0,0.0,3.0,0.0,15.0,7.0,15.0,26.0,1.0,2.0,16.0,27.0,6.0,11.0,24.0,3.0,0.0,0.61,0.31,0.0,1.0,0.0,0.0,39.7,27.0,26.84,5.0,0.2,0.02,0.02,1.11,1.11,1.09
848152284820978484145,2024,Benson/Krebs/Quinn,BUF,line,5on5,13,4597.0,66.0,0.63,0.63,0.62,48.96,3.6,3.19,13.57,1.63,27.32,19.69,3.52,3.62,3.55,38.0,31.0,20.0,89.0,2.0,5.0,0.0,12.0,0.0,28.0,22.0,36.0,67.0,6.0,15.0,30.0,19.0,4.0,19.0,57.0,9.0,3.0,1.54,1.26,0.79,2.0,0.0,0.0,87.7,69.0,68.33,6.0,0.66,0.55,0.55,3.7,3.72,3.64,31.21,2.12,1.74,8.23,0.99,17.13,12.79,2.08,2.08,2.04,32.0,11.0,10.0,53.0,2.0,3.0,0.0,5.0,0.0,12.0,21.0,30.0,41.0,11.0,25.0,48.0,34.0,6.0,17.0,34.0,7.0,2.0,0.89,0.78,0.45,1.0,1.0,0.0,51.67,43.0,42.11,11.0,0.36,0.49,0.49,1.99,1.94,1.93
847692784780468478444,2024,Heinen/Blueger/Boeser,VAN,line,5on5,11,1370.0,127.0,0.48,0.5,0.49,12.81,1.27,0.72,3.43,0.41,6.47,4.71,1.24,1.3,1.28,12.0,5.0,11.0,28.0,0.0,2.0,0.0,3.0,0.0,6.0,6.0,12.0,17.0,3.0,6.0,8.0,8.0,3.0,2.0,14.0,0.0,3.0,0.33,0.0,0.93,0.0,0.0,0.0,28.47,17.0,17.34,1.0,0.15,0.67,0.67,0.75,0.79,0.79,12.99,1.38,0.95,3.23,0.48,7.08,4.89,1.19,1.33,1.15,11.0,7.0,10.0,28.0,1.0,3.0,0.0,4.0,0.0,6.0,4.0,10.0,17.0,0.0,0.0,7.0,11.0,4.0,4.0,12.0,3.0,3.0,0.25,0.31,0.82,1.0,0.0,0.0,27.67,18.0,17.61,2.0,0.2,0.68,0.68,0.9,0.87,0.83
