NSH,2024,NSH,NSH,Team Level,other,60,0.58,0.6,0.58,9562.0,152.28,40.7,10.76,26.63,5.25,82.26,46.4,35.88,40.7,35.88,136.0,76.0,92.0,304.0,25.0,21.0,3.0,35.0,3.0,64.0,64.0,111.0,187.0,5.0,10.0,123.0,21.0,11.0,28.0,90.0,57.0,65.0,4.0,6.96,29.74,3.0,5.0,17.0,304.0,212.0,212.0,15.0,3.33,7.48,7.86,36.16,36.16,33.02,108.63,29.03,7.21,18.9,3.66,54.93,39.27,27.02,29.03,27.02,98.0,55.0,46.0,199.0,36.0,5.0,1.0,17.0,2.0,43.0,50.0,62.0,117.0,6.0,12.0,112.0,32.0,10.0,35.0,69.0,39.0,45.0,2.62,4.75,21.66,6.0,5.0,25.0,199.0,153.0,153.0,15.0,2.12,1.73,1.07,30.08,30.08,28.29
NSH,2024,NSH,NSH,Team Level,all,60,0.51,0.52,0.51,217328.0,1922.55,197.18,132.02,460.33,65.26,1052.32,742.89,186.26,196.58,185.69,1778.0,872.0,1066.0,3716.0,152.0,203.0,17.0,405.0,5.0,836.0,1049.0,1626.0,2498.0,227.0,544.0,1810.0,1472.0,282.0,930.0,1912.0,508.0,230.0,54.55,62.97,79.66,48.0,59.0,45.0,3678.12,2650.0,2633.86,421.0,29.64,43.87,43.87,182.94,182.33,176.37,1874.22,190.66,127.24,448.41,62.18,1004.84,735.68,180.8,191.73,181.87,1775.0,794.0,919.0,3488.0,201.0,167.0,16.0,350.0,4.0,792.0,1055.0,1574.0,2368.0,215.0,531.0,1671.0,1289.0,324.0,952.0,1854.0,512.0,203.0,55.11,62.29,73.26,89.0,55.0,57.0,3526.4,2569.0,2590.73,457.0,28.48,35.77,35.77,183.36,184.54,178.35
NSH,2024,NSH,NSH,Team Level,5on5,60,0.51,0.51,0.5,175173.0,1470.63,125.28,96.97,371.38,50.09,802.11,585.17,120.63,124.69,120.04,1350.0,681.0,846.0,2877.0,92.0,145.0,11.0,315.0,2.0,634.0,843.0,1258.0,1939.0,193.0,470.0,1393.0,1389.0,242.0,815.0,1523.0,382.0,126.0,43.11,47.7,34.47,39.0,41.0,12.0,2839.12,2031.0,2014.86,380.0,20.13,29.32,28.99,116.42,115.81,113.86,1474.87,120.98,94.78,371.14,49.26,796.43,594.42,116.67,122.05,117.74,1399.0,628.0,754.0,2781.0,134.0,135.0,12.0,278.0,1.0,617.0,862.0,1265.0,1893.0,192.0,477.0,1274.0,1199.0,282.0,831.0,1543.0,377.0,107.0,45.28,45.96,29.75,80.0,38.0,16.0,2819.4,2027.0,2048.73,408.0,19.69,26.02,26.68,113.99,115.16,113.26
NSH,2024,NSH,NSH,Team Level,4on5,60,0.08,0.11,0.14,16887.0,38.81,3.16,1.74,5.43,1.12,12.38,28.16,3.07,3.16,3.07,42.0,10.0,4.0,56.0,1.0,1.0,0.0,6.0,0.0,7.0,37.0,41.0,51.0,11.0,25.0,149.0,43.0,20.0,30.0,41.0,7.0,4.0,1.24,0.89,1.03,1.0,0.0,0.0,56.0,52.0,52.0,24.0,0.4,0.29,0.29,3.28,3.28,3.17,246.17,36.95,22.95,51.52,7.86,138.55,71.18,33.44,36.95,33.44,226.0,103.0,108.0,437.0,28.0,27.0,3.0,53.0,1.0,122.0,98.0,198.0,301.0,12.0,27.0,147.0,16.0,22.0,58.0,200.0,79.0,50.0,5.94,9.46,21.55,3.0,9.0,16.0,437.0,329.0,329.0,11.0,6.14,8.03,8.03,35.08,35.08,32.6
NSH,2024,NSH,NSH,Team Level,5on4,60,0.88,0.87,0.86,15706.0,260.82,28.03,22.55,56.89,8.8,155.56,83.16,26.69,28.03,26.69,250.0,105.0,124.0,479.0,34.0,36.0,3.0,49.0,0.0,131.0,105.0,216.0,321.0,18.0,39.0,145.0,19.0,9.0,57.0,258.0,62.0,35.0,6.2,7.41,14.42,5.0,13.0,16.0,479.0,355.0,355.0,2.0,5.77,6.78,6.73,27.08,27.08,26.31,44.56,3.69,2.3,6.84,1.41,14.94,30.82,3.67,3.69,3.67,52.0,8.0,11.0,71.0,3.0,0.0,0.0,2.0,0.0,10.0,45.0,49.0,57.0,5.0,15.0,138.0,42.0,10.0,28.0,42.0,17.0,1.0,1.27,2.13,0.29,0.0,3.0,0.0,71.0,60.0,60.0,23.0,0.53,0.0,0.0,4.21,4.21,4.19
ANA,2024,ANA,ANA,Team Level,other,59,0.46,0.43,0.43,8399.0,113.04,28.25,7.45,20.66,3.92,56.94,37.77,25.62,28.25,25.62,107.0,48.0,58.0,213.0,28.0,14.0,2.0,18.0,0.0,50.0,45.0,79.0,127.0,5.0,10.0,98.0,23.0,8.0,23.0,75.0,36.0,44.0,3.0,4.6,20.66,9.0,6.0,13.0,213.0,155.0,155.0,10.0,2.19,3.83,3.83,26.61,26.61,24.77,145.15,33.48,10.01,25.61,5.09,79.06,49.74,29.27,33.48,29.27,143.0,60.0,80.0,283.0,28.0,8.0,3.0,28.0,1.0,63.0,75.0,115.0,175.0,3.0,6.0,119.0,28.0,12.0,21.0,102.0,51.0,50.0,4.66,6.12,22.7,3.0,9.0,16.0,283.0,203.0,203.0,11.0,3.02,4.0,4.0,32.51,32.51,28.66
ANA,2024,ANA,ANA,Team Level,all,59,0.44,0.46,0.46,215621.0,1795.46,174.62,116.19,436.51,60.08,966.76,715.9,165.11,173.64,164.21,1641.0,830.0,942.0,3413.0,151.0,196.0,17.0,356.0,6.0,751.0,1011.0,1490.0,2320.0,221.0,470.0,1493.0,1385.0,254.0,840.0,1845.0,425.0,201.0,53.92,52.39,68.31,61.0,52.0,38.0,3377.1,2471.0,2455.05,387.0,25.75,40.99,40.99,159.33,158.55,153.69,2097.24,218.21,142.81,499.8,70.42,1131.38,812.38,206.5,219.2,207.5,1890.0,985.0,1107.0,3982.0,181.0,204.0,27.0,462.0,6.0,893.0,1129.0,1709.0,2694.0,208.0,448.0,1882.0,1047.0,267.0,799.0,2066.0,553.0,256.0,61.68,68.79,87.73,47.0,66.0,68.0,4021.73,2875.0,2894.06,367.0,31.98,44.31,44.36,205.82,206.75,199.14
ANA,2024,ANA,ANA,Team Level,5on5,59,0.44,0.46,0.46,175587.0,1397.21,112.06,86.02,354.88,46.52,752.88,572.72,107.59,111.07,106.68,1267.0,659.0,764.0,2690.0,104.0,149.0,14.0,290.0,4.0,564.0,815.0,1163.0,1822.0,200.0,425.0,1144.0,1313.0,213.0,749.0,1508.0,306.0,112.0,42.92,38.02,31.12,48.0,41.0,15.0,2654.1,1926.0,1910.05,350.0,17.8,29.61,29.8,100.0,99.21,97.32,1647.43,144.1,106.43,413.11,55.35,889.7,655.33,139.04,145.08,140.04,1458.0,806.0,908.0,3172.0,115.0,160.0,16.0,374.0,4.0,708.0,903.0,1343.0,2149.0,193.0,413.0,1456.0,983.0,225.0,708.0,1691.0,422.0,151.0,49.67,53.17,41.25,39.0,49.0,27.0,3211.73,2264.0,2283.06,333.0,22.07,31.48,31.89,134.27,135.2,133.15
ANA,2024,ANA,ANA,Team Level,4on5,59,0.13,0.14,0.14,15506.0,44.97,5.31,2.23,7.35,1.71,13.74,29.67,4.46,5.31,4.46,47.0,13.0,14.0,74.0,1.0,8.0,0.0,1.0,0.0,8.0,42.0,46.0,59.0,7.0,14.0,122.0,44.0,19.0,25.0,40.0,11.0,9.0,1.32,1.49,2.5,1.0,0.0,0.0,74.0,60.0,60.0,20.0,0.52,2.21,2.21,3.62,3.62,3.48,264.81,36.5,24.31,55.23,8.49,150.34,80.12,34.11,36.5,34.11,249.0,106.0,114.0,469.0,35.0,36.0,8.0,56.0,1.0,114.0,113.0,214.0,320.0,1.0,2.0,152.0,9.0,8.0,41.0,239.0,66.0,50.0,6.33,7.7,22.46,4.0,7.0,24.0,469.0,355.0,355.0,1.0,6.41,8.83,8.47,34.44,34.44,32.78
ANA,2024,ANA,ANA,Team Level,5on4,59,0.88,0.88,0.86,16129.0,240.24,29.01,20.5,53.62,7.93,143.21,75.73,27.45,29.01,27.45,220.0,110.0,106.0,436.0,18.0,25.0,1.0,47.0,2.0,129.0,109.0,202.0,312.0,9.0,21.0,129.0,5.0,14.0,43.0,222.0,72.0,36.0,6.69,8.28,14.04,3.0,5.0,10.0,436.0,330.0,330.0,7.0,5.25,5.35,5.16,29.1,29.1,28.11,39.85,4.13,2.06,5.85,1.49,12.28,27.19,4.08,4.13,4.08,40.0,13.0,5.0,58.0,3.0,0.0,0.0,4.0,0.0,8.0,38.0,37.0,50.0,11.0,27.0,155.0,27.0,22.0,29.0,34.0,14.0,5.0,1.01,1.8,1.32,1.0,1.0,1.0,58.0,53.0,53.0,22.0,0.47,0.0,0.0,4.6,4.6,4.54
