awayAbbrev,homeAbbrev,est,id
UTA,LAK,2024 October 26 16:00:00,2024020124
TOR,BOS,2024 October 26 19:00:00,2024020125
STL,MTL,2024 October 26 19:00:00,2024020126
WSH,TBL,2024 October 26 19:00:00,2024020127
ANA,NYR,2024 October 26 19:00:00,2024020128
WPG,CGY,2024 October 26 19:00:00,2024020129
FLA,NYI,2024 October 26 19:30:00,2024020130
CBJ,NSH,2024 October 26 20:00:00,2024020131
CHI,DAL,2024 October 26 20:00:00,2024020132
PIT,VAN,2024 October 26 22:00:00,2024020133
SJS,VGK,2024 October 26 22:00:00,2024020134
CAR,SEA,2024 October 26 22:00:00,2024020135
EDM,DET,2024 October 27 18:00:00,2024020136
ANA,NJD,2024 October 27 19:00:00,2024020137
MTL,PHI,2024 October 27 19:00:00,2024020138
OTT,COL,2024 October 27 21:00:00,2024020139
FLA,BUF,2024 October 28 19:00:00,2024020140
NSH,TBL,2024 October 28 19:30:00,2024020141
EDM,CBJ,2024 October 28 19:00:00,2024020142
TOR,WPG,2024 October 28 19:30:00,2024020143
CHI,COL,2024 October 28 21:00:00,2024020144
SJS,UTA,2024 October 28 21:00:00,2024020145
CAR,VAN,2024 October 28 22:00:00,2024020146
CGY,VGK,2024 October 28 22:00:00,2024020147
PHI,BOS,2024 October 29 19:00:00,2024020148
SEA,MTL,2024 October 29 19:00:00,2024020149
STL,OTT,2024 October 29 19:00:00,2024020150
NYR,WSH,2024 October 29 19:30:00,2024020151
ANA,NYI,2024 October 29 19:00:00,2024020152
MIN,PIT,2024 October 29 19:00:00,2024020153
LAK,SJS,2024 October 29 22:00:00,2024020154
NYI,CBJ,2024 October 30 19:00:00,2024020155
WPG,DET,2024 October 30 19:30:00,2024020156
TBL,COL,2024 October 30 21:00:00,2024020157
CGY,UTA,2024 October 30 21:30:00,2024020158
NJD,VAN,2024 October 30 22:30:00,2024020159
VGK,LAK,2024 October 30 22:00:00,2024020160
SEA,TOR,2024 October 31 19:00:00,2024020161
STL,PHI,2024 October 31 19:00:00,2024020162
ANA,PIT,2024 October 31 19:00:00,2024020163
MTL,WSH,2024 October 31 19:00:00,2024020164
BOS,CAR,2024 October 31 19:00:00,2024020165
EDM,NSH,2024 October 31 20:00:00,2024020166
CHI,SJS,2024 October 31 22:30:00,2024020167
FLA,DAL,2024 November 01 14:00:00,2024020168
NYI,BUF,2024 November 01 19:00:00,2024020169
OTT,NYR,2024 November 01 19:00:00,2024020170
WPG,CBJ,2024 November 01 19:00:00,2024020171
TBL,MIN,2024 November 01 20:00:00,2024020172
NJD,CGY,2024 November 01 21:00:00,2024020173
DAL,FLA,2024 November 02 12:00:00,2024020174
BOS,PHI,2024 November 02 13:00:00,2024020175
CHI,LAK,2024 November 02 16:00:00,2024020176
CBJ,WSH,2024 November 02 17:00:00,2024020177
SEA,OTT,2024 November 02 19:00:00,2024020178
BUF,DET,2024 November 02 19:00:00,2024020179
MTL,PIT,2024 November 02 19:00:00,2024020180
TOR,STL,2024 November 02 19:00:00,2024020181
COL,NSH,2024 November 02 20:00:00,2024020182
UTA,VGK,2024 November 02 22:00:00,2024020183
VAN,SJS,2024 November 02 22:00:00,2024020184
NYI,NYR,2024 November 03 13:00:00,2024020185
TBL,WPG,2024 November 03 15:00:00,2024020186
SEA,BOS,2024 November 03 17:00:00,2024020187
WSH,CAR,2024 November 03 17:00:00,2024020188
TOR,MIN,2024 November 03 18:00:00,2024020189
EDM,CGY,2024 November 03 20:00:00,2024020190
CHI,ANA,2024 November 03 20:00:00,2024020191
LAK,NSH,2024 November 04 20:00:00,2024020192
NJD,EDM,2024 November 04 20:30:00,2024020193
OTT,BUF,2024 November 05 19:00:00,2024020194
BOS,TOR,2024 November 05 19:00:00,2024020195
CGY,MTL,2024 November 05 19:00:00,2024020196
PHI,CAR,2024 November 05 19:00:00,2024020197
PIT,NYI,2024 November 05 19:30:00,2024020198
TBL,STL,2024 November 05 20:00:00,2024020199
LAK,MIN,2024 November 05 20:00:00,2024020200
UTA,WPG,2024 November 05 20:00:00,2024020201
SEA,COL,2024 November 05 21:00:00,2024020202
VAN,ANA,2024 November 05 22:00:00,2024020203
CBJ,SJS,2024 November 05 22:30:00,2024020204
NSH,WSH,2024 November 06 19:00:00,2024020205
DET,CHI,2024 November 06 20:00:00,2024020206
VGK,EDM,2024 November 06 20:30:00,2024020207
CGY,BOS,2024 November 07 19:00:00,2024020208
NYI,OTT,2024 November 07 19:00:00,2024020209
PHI,TBL,2024 November 07 19:30:00,2024020210
NSH,FLA,2024 November 07 19:00:00,2024020211
MTL,NJD,2024 November 07 19:00:00,2024020212
BUF,NYR,2024 November 07 19:00:00,2024020213
PIT,CAR,2024 November 07 19:00:00,2024020214
UTA,STL,2024 November 07 20:00:00,2024020215
CHI,DAL,2024 November 07 20:00:00,2024020216
COL,WPG,2024 November 07 20:00:00,2024020217
VAN,LAK,2024 November 07 22:30:00,2024020218
MIN,SJS,2024 November 07 22:30:00,2024020219
DET,TOR,2024 November 08 19:00:00,2024020220
PIT,WSH,2024 November 08 19:30:00,2024020221
MIN,ANA,2024 November 08 22:00:00,2024020222
VGK,SEA,2024 November 08 22:00:00,2024020223
CGY,BUF,2024 November 09 13:00:00,2024020224
PHI,FLA,2024 November 09 18:00:00,2024020225
OTT,BOS,2024 November 09 19:00:00,2024020226
MTL,TOR,2024 November 09 19:00:00,2024020227
NYR,DET,2024 November 09 19:00:00,2024020228
WSH,STL,2024 November 09 19:00:00,2024020229
DAL,WPG,2024 November 09 15:00:00,2024020230
NJD,NYI,2024 November 09 19:30:00,2024020231
UTA,NSH,2024 November 09 20:00:00,2024020232
CAR,COL,2024 November 09 21:00:00,2024020233
CBJ,LAK,2024 November 09 21:00:00,2024020234
EDM,VAN,2024 November 09 22:00:00,2024020235
SJS,NJD,2024 November 10 19:00:00,2024020236
MIN,CHI,2024 November 10 19:00:00,2024020237
