lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84735078481607,2024,Johansson/Petry,DET,pairing,5on5,7,619.0,42.0,0.47,0.52,0.53,6.18,0.48,0.45,1.44,0.2,3.68,2.74,0.48,0.47,0.47,6.0,3.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,6.0,9.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,1.0,0.0,0.4,0.09,0.0,0.0,0.0,0.0,10.44,9.0,8.68,1.0,0.09,0.0,0.0,0.58,0.56,0.56,5.69,0.55,0.36,1.2,0.19,3.3,2.4,0.51,0.57,0.54,5.0,3.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,7.0,0.0,0.0,4.0,1.0,0.0,5.0,4.0,4.0,0.0,0.11,0.44,0.0,0.0,1.0,0.0,10.81,8.0,8.55,3.0,0.07,0.0,0.0,0.62,0.65,0.61
847810984784628479353,2024,Olofsson/Roy/Howden,VGK,line,5on5,2,926.0,7.0,0.4,0.5,0.5,6.79,0.62,0.37,1.34,0.2,3.42,3.05,0.61,0.6,0.6,8.0,1.0,3.0,12.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,8.0,0.0,0.0,8.0,5.0,0.0,7.0,6.0,2.0,1.0,0.16,0.2,0.25,0.0,1.0,0.0,12.02,9.0,9.02,2.0,0.08,0.0,0.0,0.7,0.68,0.67,6.74,0.93,0.44,1.85,0.2,3.14,2.45,0.82,0.93,0.82,8.0,1.0,3.0,12.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,7.0,8.0,0.0,0.0,8.0,3.0,2.0,3.0,5.0,2.0,2.0,0.13,0.19,0.61,0.0,1.0,0.0,11.81,9.0,8.75,1.0,0.1,0.61,0.61,0.41,0.42,0.4
84784078479372,2024,Dunn/Mahura,SEA,pairing,5on5,10,632.0,72.0,0.05,0.2,0.14,1.02,0.05,0.11,0.31,0.07,0.78,0.68,0.05,0.05,0.05,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,9.0,2.0,3.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.01,2.0,1.99,2.0,0.02,0.0,0.0,0.07,0.08,0.08,8.96,0.95,0.71,1.92,0.27,4.95,3.21,0.91,0.98,0.94,7.0,5.0,4.0,16.0,1.0,1.0,0.0,2.0,0.0,5.0,3.0,6.0,11.0,0.0,0.0,1.0,1.0,2.0,2.0,8.0,3.0,1.0,0.29,0.35,0.31,0.0,1.0,0.0,16.28,12.0,12.19,0.0,0.14,0.31,0.31,0.78,0.8,0.76
84793788479639,2024,Stanley/Coghlan,WPG,pairing,5on5,5,2083.0,22.0,0.34,0.43,0.45,15.88,0.95,1.03,4.24,0.54,9.04,6.2,0.92,0.96,0.93,11.0,11.0,7.0,29.0,0.0,2.0,0.0,2.0,0.0,8.0,10.0,11.0,22.0,1.0,4.0,12.0,15.0,7.0,7.0,17.0,4.0,1.0,0.31,0.43,0.21,0.0,0.0,0.0,28.88,22.0,22.18,3.0,0.21,0.16,0.16,1.01,1.01,1.0,20.89,1.84,1.3,5.73,0.7,9.87,7.56,1.77,1.89,1.81,16.0,11.0,11.0,38.0,1.0,2.0,0.0,2.0,1.0,8.0,13.0,15.0,26.0,1.0,2.0,10.0,14.0,2.0,5.0,20.0,4.0,3.0,0.45,0.61,0.77,0.0,0.0,1.0,38.16,27.0,27.35,1.0,0.28,0.39,0.39,1.74,1.77,1.76
847643884820778482737,2024,Saad/Holloway/Bolduc,STL,line,5on5,5,891.0,81.0,0.52,0.59,0.58,7.95,0.46,0.45,1.85,0.25,4.37,3.62,0.46,0.45,0.45,6.0,5.0,5.0,16.0,1.0,0.0,0.0,2.0,0.0,3.0,5.0,5.0,10.0,1.0,2.0,7.0,2.0,0.0,8.0,10.0,1.0,0.0,0.29,0.17,0.0,1.0,0.0,0.0,15.95,11.0,11.01,5.0,0.09,0.0,0.0,0.55,0.55,0.54,5.94,0.42,0.34,1.37,0.18,3.34,2.34,0.42,0.43,0.43,5.0,3.0,3.0,11.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,6.0,1.0,2.0,8.0,7.0,0.0,9.0,7.0,0.0,1.0,0.19,0.0,0.23,1.0,0.0,1.0,10.99,8.0,7.82,6.0,0.07,0.0,0.0,0.49,0.5,0.5
84764628480192,2024,Hamilton/Kovacevic,NJD,pairing,5on5,25,989.0,212.0,0.4,0.56,0.52,7.89,0.49,0.53,1.72,0.24,4.59,3.42,0.49,0.48,0.48,8.0,3.0,4.0,15.0,2.0,1.0,0.0,1.0,0.0,1.0,6.0,6.0,9.0,0.0,0.0,2.0,9.0,1.0,3.0,9.0,2.0,0.0,0.27,0.21,0.0,1.0,1.0,0.0,15.05,11.0,10.94,0.0,0.11,0.56,0.0,0.6,0.59,0.59,7.36,0.73,0.54,1.67,0.22,3.96,2.88,0.72,0.75,0.75,8.0,2.0,2.0,12.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,9.0,1.0,2.0,0.0,4.0,1.0,5.0,5.0,5.0,0.0,0.12,0.6,0.0,0.0,1.0,0.0,11.79,10.0,10.08,3.0,0.11,0.0,0.0,0.84,0.86,0.86
847843984800288480797,2024,Farabee/Frost/Konecny,PHI,line,5on5,14,759.0,209.0,0.55,0.48,0.44,6.18,0.62,0.43,1.6,0.28,2.81,2.25,0.62,0.59,0.59,7.0,1.0,6.0,14.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,7.0,8.0,0.0,0.0,4.0,2.0,2.0,6.0,5.0,3.0,0.0,0.19,0.43,0.0,0.0,0.0,0.0,12.84,8.0,7.31,3.0,0.09,0.0,0.0,0.71,0.67,0.67,7.49,0.5,0.52,1.93,0.23,4.0,2.82,0.5,0.54,0.54,6.0,4.0,5.0,15.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,6.0,10.0,0.0,0.0,5.0,7.0,1.0,5.0,9.0,1.0,0.0,0.35,0.16,0.0,0.0,0.0,0.0,16.5,10.0,10.84,2.0,0.11,0.16,0.16,0.46,0.48,0.48
847840984802208484387,2024,Richard/Cates/Michkov,PHI,line,5on5,4,798.0,35.0,0.17,0.29,0.38,4.88,0.2,0.37,1.33,0.22,3.36,2.52,0.2,0.2,0.2,6.0,2.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,7.0,0.0,0.0,5.0,5.0,3.0,0.0,8.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,9.54,8.0,8.16,0.0,0.07,0.0,0.0,0.27,0.27,0.27,9.63,1.0,0.73,2.61,0.34,4.93,3.4,0.94,0.97,0.92,7.0,6.0,9.0,22.0,0.0,1.0,0.0,2.0,0.0,3.0,7.0,7.0,13.0,0.0,0.0,7.0,3.0,1.0,3.0,7.0,6.0,0.0,0.21,0.79,0.0,0.0,0.0,0.0,21.28,13.0,12.64,2.0,0.15,0.2,0.2,0.95,0.93,0.88
847487084757458479365,2024,Johnson/Frederic/Coyle,BOS,line,5on5,6,2158.0,37.0,0.44,0.56,0.57,17.5,0.82,0.94,4.46,0.57,10.32,7.9,0.81,0.84,0.84,10.0,15.0,13.0,38.0,1.0,1.0,0.0,3.0,0.0,11.0,9.0,9.0,24.0,3.0,6.0,17.0,20.0,5.0,9.0,23.0,2.0,0.0,0.61,0.21,0.0,1.0,0.0,0.0,38.43,25.0,25.28,4.0,0.19,0.08,0.08,0.93,0.96,0.95,14.0,1.03,0.84,3.42,0.44,7.3,5.97,1.03,1.01,1.01,15.0,4.0,11.0,30.0,3.0,0.0,0.0,2.0,0.0,4.0,10.0,12.0,16.0,2.0,4.0,9.0,20.0,2.0,13.0,16.0,2.0,1.0,0.5,0.32,0.21,1.0,1.0,1.0,29.49,19.0,18.65,7.0,0.17,0.0,0.0,1.21,1.18,1.18
847414184793378483464,2024,Kane/Kasper/Debrincat,DET,line,5on5,12,1671.0,100.0,0.56,0.52,0.51,16.37,1.25,0.91,4.31,0.53,8.57,6.43,1.24,1.16,1.15,14.0,8.0,9.0,31.0,0.0,2.0,0.0,0.0,0.0,5.0,15.0,14.0,22.0,0.0,0.0,8.0,5.0,3.0,6.0,20.0,0.0,2.0,0.61,0.0,0.64,0.0,0.0,0.0,28.93,22.0,20.43,3.0,0.18,0.64,0.64,0.8,0.74,0.74,14.12,0.99,0.93,3.13,0.5,8.69,6.77,0.98,1.04,1.03,12.0,9.0,8.0,29.0,0.0,0.0,0.0,4.0,0.0,6.0,11.0,12.0,21.0,1.0,2.0,11.0,10.0,2.0,7.0,18.0,3.0,0.0,0.55,0.44,0.0,0.0,0.0,0.0,30.6,21.0,21.99,6.0,0.19,0.0,0.0,1.17,1.24,1.22
