,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
311,84768918478854,2024,Grzelcyk/Shea,PIT,pairing,5on5,11,642.0,88.0,0.4,0.14,0.18,1.61,0.3,0.18,0.23,0.05,0.74,0.51,0.28,0.3,0.28,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,6.0,0.0,2.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.95,2.0,1.93,1.0,0.04,0.0,0.0,0.34,0.34,0.32,6.58,0.46,0.4,1.71,0.21,3.65,2.56,0.46,0.48,0.48,6.0,3.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,8.0,0.0,0.0,2.0,4.0,4.0,1.0,8.0,1.0,0.0,0.3,0.16,0.0,1.0,0.0,0.0,12.76,9.0,9.47,0.0,0.08,0.16,0.16,0.38,0.39,0.39
312,848079884816248484144,2024,Kurashev/Bedard/Mikheyev,CHI,line,5on5,2,911.0,5.0,0.49,0.44,0.48,8.92,0.55,0.51,2.64,0.36,5.03,3.91,0.52,0.6,0.57,8.0,5.0,3.0,16.0,0.0,2.0,0.0,1.0,0.0,3.0,7.0,8.0,13.0,1.0,2.0,4.0,4.0,0.0,4.0,11.0,1.0,1.0,0.17,0.12,0.27,0.0,0.0,0.0,17.01,13.0,13.82,3.0,0.1,0.3,0.3,0.36,0.39,0.38,9.37,0.58,0.65,2.66,0.39,5.67,4.05,0.57,0.54,0.53,9.0,5.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,9.0,14.0,0.0,0.0,3.0,4.0,2.0,4.0,12.0,2.0,0.0,0.35,0.23,0.0,0.0,0.0,0.0,19.02,14.0,13.27,0.0,0.13,0.03,0.03,0.68,0.63,0.62
313,84779328478055,2024,Forsling/Ekblad,FLA,pairing,5on5,46,42603.0,63.0,0.53,0.55,0.55,413.67,32.08,26.17,109.13,14.35,233.03,166.24,31.01,32.15,31.08,394.0,187.0,225.0,806.0,32.0,38.0,4.0,92.0,0.0,215.0,204.0,362.0,549.0,54.0,120.0,357.0,360.0,61.0,170.0,461.0,93.0,27.0,12.75,11.61,7.72,20.0,7.0,5.0,810.37,581.0,582.61,74.0,5.4,7.07,7.07,30.41,30.5,29.91,349.04,28.3,21.91,89.58,11.64,187.86,141.71,27.2,28.11,27.05,319.0,162.0,168.0,649.0,25.0,31.0,3.0,63.0,0.0,150.0,212.0,294.0,456.0,49.0,115.0,360.0,217.0,68.0,170.0,374.0,79.0,28.0,10.7,9.87,7.73,10.0,11.0,4.0,647.37,481.0,478.61,97.0,4.55,6.67,6.67,26.17,26.07,25.69
314,84741518482655,2024,McDonagh/Moser,TBL,pairing,5on5,23,3234.0,175.0,0.45,0.51,0.49,22.55,1.74,1.44,5.1,0.69,12.44,9.59,1.73,1.73,1.71,23.0,8.0,15.0,46.0,2.0,1.0,0.0,4.0,0.0,6.0,18.0,21.0,29.0,2.0,4.0,23.0,12.0,4.0,19.0,22.0,8.0,1.0,0.62,0.92,0.21,2.0,0.0,0.0,46.48,31.0,31.0,8.0,0.3,0.14,0.14,1.9,1.89,1.89,24.37,2.13,1.6,6.08,0.75,12.21,9.22,1.94,2.1,1.9,25.0,7.0,13.0,45.0,4.0,2.0,0.0,7.0,0.0,11.0,8.0,21.0,28.0,1.0,2.0,12.0,12.0,4.0,17.0,23.0,7.0,2.0,0.66,0.78,0.69,2.0,2.0,0.0,44.22,32.0,31.44,8.0,0.33,0.38,0.38,2.08,2.04,2.01
315,84745688476869,2024,Skjei/Schenn,NSH,pairing,5on5,39,6937.0,251.0,0.52,0.53,0.52,55.89,4.67,3.51,13.53,1.85,31.02,23.41,4.6,4.56,4.48,50.0,28.0,29.0,107.0,2.0,4.0,0.0,14.0,0.0,22.0,36.0,48.0,76.0,10.0,23.0,46.0,73.0,9.0,39.0,62.0,13.0,3.0,1.71,1.73,1.24,2.0,0.0,0.0,102.73,78.0,75.99,13.0,0.72,0.91,0.91,4.49,4.38,4.36,54.2,4.28,3.39,13.99,1.77,28.0,21.57,4.24,4.32,4.28,54.0,19.0,21.0,94.0,5.0,6.0,0.0,7.0,0.0,20.0,35.0,49.0,68.0,6.0,15.0,38.0,45.0,7.0,32.0,54.0,16.0,3.0,1.58,2.04,0.67,2.0,1.0,2.0,96.51,73.0,74.35,18.0,0.71,0.68,0.68,4.31,4.35,4.35
316,84751778480069,2024,De Haan/Makar,COL,pairing,5on5,25,1390.0,251.0,0.39,0.47,0.45,12.75,0.84,0.85,3.02,0.4,7.52,5.37,0.83,0.85,0.84,12.0,6.0,7.0,25.0,2.0,1.0,1.0,0.0,0.0,7.0,8.0,10.0,16.0,2.0,4.0,3.0,9.0,2.0,14.0,16.0,1.0,1.0,0.51,0.1,0.23,1.0,0.0,1.0,24.68,18.0,17.81,5.0,0.17,0.23,0.23,0.78,0.76,0.76,15.71,1.33,0.94,3.82,0.49,8.66,6.75,1.31,1.32,1.3,15.0,7.0,6.0,28.0,3.0,2.0,1.0,6.0,0.0,3.0,8.0,12.0,19.0,0.0,0.0,1.0,12.0,1.0,5.0,16.0,5.0,1.0,0.38,0.62,0.33,0.0,2.0,1.0,27.78,22.0,21.61,4.0,0.19,0.52,0.52,1.01,0.99,0.98
317,847790384800688480797,2024,Farabee/Poehling/Hathaway,PHI,line,5on5,12,1762.0,128.0,0.5,0.41,0.44,11.56,1.0,0.74,2.77,0.34,5.89,4.26,0.99,1.0,1.0,9.0,6.0,8.0,23.0,1.0,1.0,0.0,2.0,0.0,6.0,5.0,8.0,14.0,1.0,2.0,11.0,17.0,2.0,7.0,11.0,4.0,0.0,0.4,0.59,0.0,0.0,1.0,0.0,22.62,15.0,14.85,3.0,0.15,0.1,0.1,1.05,1.06,1.05,13.7,1.01,0.89,3.67,0.45,7.6,5.38,0.96,0.98,0.93,15.0,4.0,14.0,33.0,3.0,1.0,1.0,4.0,0.0,4.0,7.0,12.0,16.0,1.0,2.0,14.0,11.0,3.0,7.0,17.0,1.0,1.0,0.62,0.17,0.22,2.0,0.0,1.0,32.81,19.0,18.82,3.0,0.18,0.22,0.22,0.97,0.94,0.91
318,847740284793858482737,2024,Bolduc/Buchnevich/Kyrou,STL,line,5on5,5,1506.0,43.0,0.33,0.53,0.47,12.54,0.69,0.73,3.1,0.41,7.54,5.52,0.65,0.7,0.66,13.0,5.0,6.0,24.0,2.0,0.0,0.0,3.0,0.0,4.0,9.0,11.0,16.0,2.0,4.0,11.0,3.0,3.0,12.0,18.0,0.0,0.0,0.69,0.0,0.0,2.0,0.0,0.0,23.82,18.0,17.87,6.0,0.15,0.0,0.0,0.84,0.85,0.8,14.79,1.4,1.0,3.46,0.51,7.78,5.86,1.38,1.39,1.36,17.0,3.0,1.0,21.0,0.0,1.0,0.0,2.0,0.0,8.0,9.0,17.0,20.0,0.0,0.0,13.0,10.0,4.0,6.0,15.0,4.0,1.0,0.59,0.61,0.2,0.0,0.0,0.0,21.41,20.0,20.46,1.0,0.21,0.18,0.18,1.44,1.42,1.4
319,84808798482105,2024,Sanderson/Bernard/Docker,OTT,pairing,5on5,14,634.0,99.0,0.74,0.57,0.56,5.95,0.53,0.46,1.51,0.26,3.33,2.91,0.52,0.59,0.57,8.0,1.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,7.0,8.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,1.0,1.0,0.08,0.13,0.32,0.0,1.0,0.0,12.84,9.0,9.51,0.0,0.09,0.32,0.32,0.3,0.32,0.3,5.08,0.18,0.26,1.4,0.15,2.78,2.23,0.18,0.18,0.18,4.0,3.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,6.0,1.0,4.0,2.0,8.0,0.0,2.0,7.0,0.0,0.0,0.18,0.0,0.0,1.0,0.0,0.0,8.47,7.0,6.72,1.0,0.05,0.0,0.0,0.23,0.23,0.23
320,847646084779408480014,2024,Ehlers/Scheifele/Vilardi,WPG,line,5on5,15,828.0,168.0,0.48,0.41,0.37,6.81,0.79,0.43,1.58,0.24,3.83,3.13,0.79,0.77,0.77,7.0,3.0,5.0,15.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,7.0,10.0,1.0,2.0,3.0,0.0,0.0,2.0,6.0,3.0,1.0,0.17,0.41,0.21,0.0,0.0,0.0,14.43,10.0,9.69,1.0,0.09,0.21,0.21,0.67,0.65,0.65,11.7,0.86,0.73,3.05,0.43,7.09,4.84,0.84,0.87,0.85,10.0,7.0,5.0,22.0,1.0,2.0,1.0,6.0,0.0,4.0,4.0,9.0,16.0,1.0,2.0,1.0,3.0,1.0,3.0,15.0,2.0,0.0,0.51,0.36,0.0,0.0,1.0,0.0,22.05,17.0,17.07,2.0,0.15,0.36,0.36,0.65,0.65,0.64
