team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CBJ,2024,CBJ,CBJ,Team Level,5on4,53,0.87,0.89,0.87,12296.0,175.05,20.13,16.16,38.29,5.9,104.4,54.12,19.22,20.13,19.22,179.0,60.0,96.0,335.0,27.0,19.0,2.0,36.0,0.0,90.0,67.0,152.0,212.0,14.0,28.0,114.0,16.0,5.0,45.0,169.0,45.0,25.0,4.37,5.4,10.36,6.0,9.0,12.0,335.0,239.0,239.0,2.0,4.17,2.9,2.9,21.4,21.4,20.87,28.01,2.94,1.46,3.8,0.83,8.79,19.18,2.91,2.94,2.91,32.0,5.0,5.0,42.0,3.0,1.0,0.0,0.0,0.0,5.0,28.0,29.0,34.0,2.0,4.0,107.0,24.0,14.0,33.0,24.0,10.0,3.0,0.72,1.42,0.81,2.0,1.0,0.0,42.0,37.0,37.0,25.0,0.33,0.3,0.3,2.98,2.98,2.97
PIT,2024,PIT,PIT,Team Level,other,54,0.36,0.45,0.44,5709.0,74.87,15.07,5.61,13.5,2.65,42.42,26.76,14.24,15.07,14.24,63.0,43.0,45.0,151.0,19.0,2.0,1.0,7.0,1.0,47.0,30.0,44.0,87.0,3.0,6.0,68.0,24.0,10.0,12.0,65.0,26.0,15.0,2.66,3.32,9.08,6.0,5.0,8.0,151.0,106.0,106.0,5.0,1.61,0.75,0.75,15.93,15.93,15.11,94.73,27.3,6.71,15.98,3.26,50.01,29.74,24.95,27.3,24.95,82.0,51.0,52.0,185.0,30.0,11.0,5.0,12.0,0.0,41.0,39.0,52.0,103.0,2.0,4.0,63.0,23.0,4.0,19.0,63.0,30.0,40.0,2.55,4.05,20.7,4.0,7.0,19.0,185.0,133.0,133.0,9.0,1.91,3.59,3.59,25.63,25.63,23.92
PIT,2024,PIT,PIT,Team Level,all,54,0.48,0.5,0.49,197173.0,1722.7,169.02,120.93,423.84,59.58,931.68,660.95,160.31,169.45,160.75,1543.0,823.0,946.0,3312.0,156.0,204.0,21.0,333.0,4.0,743.0,926.0,1387.0,2210.0,169.0,359.0,1599.0,1063.0,293.0,783.0,1736.0,433.0,197.0,48.98,53.98,66.06,59.0,53.0,44.0,3312.81,2366.0,2364.66,347.0,26.89,42.51,42.51,153.4,153.86,149.74,1764.27,181.76,117.94,426.7,59.56,953.88,696.17,172.36,182.84,173.36,1662.0,774.0,891.0,3327.0,189.0,183.0,21.0,342.0,3.0,769.0,950.0,1473.0,2247.0,179.0,393.0,1477.0,1128.0,281.0,777.0,1773.0,466.0,197.0,50.59,58.71,72.47,65.0,66.0,58.0,3349.25,2436.0,2454.13,389.0,26.1,36.43,36.43,171.43,172.51,166.88
PIT,2024,PIT,PIT,Team Level,5on5,54,0.5,0.51,0.5,162125.0,1373.31,117.59,90.82,352.48,47.38,742.48,543.26,112.45,118.02,112.89,1223.0,671.0,795.0,2689.0,101.0,156.0,14.0,276.0,3.0,592.0,766.0,1122.0,1793.0,154.0,327.0,1276.0,1003.0,258.0,701.0,1425.0,341.0,128.0,39.37,42.6,35.61,47.0,41.0,13.0,2689.81,1894.0,1892.66,320.0,18.87,31.45,31.45,104.99,105.45,103.39,1382.93,117.54,88.84,351.96,46.92,747.34,552.4,112.86,118.63,113.85,1293.0,612.0,725.0,2630.0,128.0,145.0,13.0,269.0,3.0,593.0,767.0,1165.0,1777.0,169.0,375.0,1158.0,1056.0,242.0,688.0,1436.0,355.0,114.0,40.22,45.02,32.3,54.0,55.0,19.0,2652.25,1905.0,1923.13,349.0,18.45,27.5,27.59,108.4,109.47,107.52
PIT,2024,PIT,PIT,Team Level,4on5,54,0.05,0.08,0.1,14254.0,24.77,1.83,1.22,4.24,0.91,8.16,17.63,1.81,1.83,1.81,26.0,8.0,5.0,39.0,0.0,0.0,0.0,3.0,0.0,6.0,25.0,26.0,34.0,6.0,12.0,115.0,26.0,13.0,23.0,29.0,3.0,2.0,0.85,0.47,0.51,0.0,0.0,0.0,39.0,34.0,34.0,17.0,0.28,0.0,0.0,2.12,2.12,2.09,230.07,32.56,19.46,49.5,7.41,137.42,72.66,30.31,32.56,30.31,227.0,92.0,108.0,427.0,28.0,21.0,3.0,55.0,0.0,127.0,88.0,199.0,291.0,8.0,14.0,140.0,9.0,14.0,49.0,213.0,66.0,40.0,6.11,7.72,18.74,5.0,3.0,20.0,427.0,319.0,319.0,13.0,5.07,4.87,4.78,32.85,32.85,30.92
PIT,2024,PIT,PIT,Team Level,5on4,54,0.89,0.84,0.81,15085.0,249.74,34.53,23.28,53.61,8.65,138.63,73.3,31.8,34.53,31.8,231.0,101.0,101.0,433.0,36.0,46.0,6.0,47.0,0.0,98.0,105.0,195.0,296.0,6.0,14.0,140.0,10.0,12.0,47.0,217.0,63.0,52.0,6.11,7.58,20.85,6.0,7.0,23.0,433.0,332.0,332.0,5.0,6.14,10.31,10.31,30.36,30.36,29.14,56.54,4.35,2.92,9.26,1.98,19.11,41.38,4.24,4.35,4.24,60.0,19.0,6.0,85.0,3.0,6.0,0.0,6.0,0.0,8.0,56.0,57.0,76.0,0.0,0.0,116.0,40.0,21.0,21.0,61.0,15.0,3.0,1.71,1.92,0.72,2.0,1.0,0.0,85.0,79.0,79.0,18.0,0.68,0.47,0.47,4.55,4.55,4.52
NYI,2024,NYI,NYI,Team Level,other,52,0.46,0.46,0.48,7067.0,100.37,20.06,7.88,18.53,3.58,61.11,30.85,19.19,20.06,19.19,93.0,49.0,44.0,186.0,20.0,9.0,2.0,13.0,2.0,57.0,41.0,73.0,122.0,5.0,18.0,82.0,22.0,13.0,18.0,79.0,39.0,24.0,3.05,4.47,12.53,3.0,5.0,12.0,186.0,142.0,142.0,9.0,2.22,1.54,1.54,20.74,20.74,19.85,114.14,23.41,8.25,20.72,3.7,62.02,37.9,22.16,23.41,22.16,115.0,41.0,59.0,215.0,28.0,9.0,3.0,12.0,0.0,52.0,55.0,87.0,128.0,3.0,6.0,71.0,18.0,10.0,16.0,85.0,35.0,36.0,3.72,4.56,15.13,4.0,4.0,20.0,215.0,156.0,156.0,5.0,2.36,3.07,3.07,22.7,22.7,21.75
NYI,2024,NYI,NYI,Team Level,all,52,0.49,0.5,0.5,189283.0,1628.23,149.86,110.68,400.67,55.96,896.98,641.85,144.18,150.56,144.83,1502.0,754.0,855.0,3111.0,142.0,157.0,18.0,330.0,3.0,752.0,872.0,1360.0,2114.0,131.0,291.0,1619.0,1170.0,266.0,770.0,1703.0,397.0,156.0,48.98,49.14,51.75,49.0,56.0,37.0,3116.57,2256.0,2260.25,368.0,24.61,31.17,31.19,143.28,143.72,140.27,1616.36,158.63,108.69,389.46,53.68,870.33,631.21,152.03,159.1,152.43,1472.0,740.0,920.0,3132.0,150.0,172.0,14.0,255.0,3.0,720.0,912.0,1322.0,2062.0,139.0,303.0,1304.0,1171.0,292.0,768.0,1640.0,394.0,178.0,47.05,50.14,61.43,51.0,48.0,51.0,3133.11,2212.0,2215.97,384.0,24.07,36.84,36.84,145.85,146.1,143.13
NYI,2024,NYI,NYI,Team Level,5on5,52,0.5,0.49,0.5,158534.0,1297.98,106.61,83.52,332.47,44.62,711.81,520.95,103.06,107.31,103.71,1175.0,625.0,718.0,2518.0,103.0,121.0,13.0,258.0,1.0,594.0,723.0,1072.0,1697.0,121.0,263.0,1281.0,1112.0,230.0,692.0,1402.0,289.0,109.0,40.13,36.34,30.15,44.0,41.0,18.0,2523.57,1800.0,1804.25,344.0,17.36,25.31,25.33,98.65,99.09,97.54,1307.79,108.58,83.61,329.35,43.71,701.9,524.84,104.91,109.06,105.32,1176.0,616.0,780.0,2572.0,89.0,136.0,8.0,215.0,3.0,594.0,755.0,1087.0,1703.0,132.0,289.0,1044.0,1113.0,257.0,702.0,1373.0,312.0,107.0,38.15,39.79,30.65,41.0,37.0,11.0,2573.11,1792.0,1795.97,356.0,17.35,27.85,27.93,98.0,98.25,96.9
NYI,2024,NYI,NYI,Team Level,4on5,52,0.14,0.17,0.2,10602.0,44.13,3.82,2.19,6.04,1.3,13.57,31.07,3.76,3.82,3.76,48.0,10.0,6.0,64.0,5.0,3.0,1.0,5.0,0.0,10.0,35.0,43.0,53.0,3.0,6.0,110.0,25.0,14.0,13.0,40.0,15.0,3.0,1.17,1.87,0.78,2.0,2.0,1.0,64.0,58.0,58.0,8.0,0.49,0.28,0.28,4.03,4.03,4.02,168.64,24.31,15.52,35.6,5.47,97.84,50.25,22.66,24.31,22.66,153.0,76.0,74.0,303.0,31.0,25.0,3.0,28.0,0.0,68.0,77.0,122.0,198.0,2.0,4.0,92.0,13.0,7.0,28.0,156.0,40.0,33.0,4.27,5.0,15.03,5.0,6.0,20.0,303.0,229.0,229.0,6.0,4.06,5.48,5.4,22.97,22.97,22.3
NYI,2024,NYI,NYI,Team Level,5on4,52,0.89,0.89,0.88,13080.0,185.75,19.37,17.08,43.62,6.47,110.49,58.97,18.18,19.37,18.18,186.0,70.0,87.0,343.0,14.0,24.0,2.0,54.0,0.0,91.0,73.0,172.0,242.0,2.0,4.0,146.0,11.0,9.0,47.0,182.0,54.0,20.0,4.62,6.47,8.28,0.0,8.0,6.0,343.0,256.0,256.0,7.0,4.54,4.05,4.05,19.86,19.86,18.85,25.79,2.33,1.31,3.79,0.81,8.56,18.21,2.29,2.33,2.29,28.0,7.0,7.0,42.0,2.0,2.0,0.0,0.0,0.0,6.0,25.0,26.0,33.0,2.0,4.0,97.0,27.0,18.0,22.0,26.0,7.0,2.0,0.91,0.79,0.62,1.0,1.0,0.0,42.0,35.0,35.0,17.0,0.3,0.44,0.44,2.19,2.19,2.18
ANA,2024,ANA,ANA,Team Level,other,52,0.44,0.42,0.43,7228.0,94.15,21.93,6.35,17.8,3.29,49.03,31.59,20.31,21.93,20.31,90.0,40.0,46.0,176.0,20.0,11.0,1.0,16.0,0.0,43.0,40.0,70.0,110.0,5.0,10.0,88.0,20.0,6.0,19.0,67.0,31.0,32.0,2.57,4.02,15.34,6.0,4.0,10.0,176.0,130.0,130.0,8.0,1.82,3.06,3.06,20.69,20.69,19.82,121.89,28.46,8.41,21.18,4.24,67.43,41.28,24.61,28.46,24.61,121.0,50.0,71.0,242.0,23.0,5.0,1.0,23.0,1.0,57.0,62.0,98.0,148.0,2.0,4.0,94.0,21.0,10.0,16.0,82.0,45.0,44.0,3.75,5.34,19.37,2.0,7.0,14.0,242.0,171.0,171.0,9.0,2.58,2.42,2.42,28.61,28.61,24.98
ANA,2024,ANA,ANA,Team Level,all,52,0.44,0.46,0.46,189662.0,1583.68,150.47,102.27,386.0,53.06,857.32,632.95,142.88,149.47,141.97,1456.0,727.0,833.0,3016.0,131.0,167.0,14.0,314.0,6.0,671.0,894.0,1325.0,2052.0,190.0,405.0,1308.0,1205.0,229.0,735.0,1639.0,376.0,168.0,47.8,46.21,56.46,53.0,46.0,32.0,2979.96,2183.0,2166.18,338.0,22.58,34.75,34.75,138.24,137.41,133.82,1844.29,191.79,125.56,441.35,62.03,995.07,714.2,181.16,192.93,182.3,1669.0,861.0,999.0,3529.0,161.0,185.0,24.0,407.0,6.0,792.0,979.0,1508.0,2369.0,184.0,397.0,1661.0,888.0,241.0,693.0,1814.0,492.0,224.0,54.02,61.06,76.69,39.0,60.0,62.0,3568.94,2530.0,2550.27,329.0,28.16,39.14,39.2,180.75,181.76,174.79
ANA,2024,ANA,ANA,Team Level,5on5,52,0.44,0.46,0.46,154169.0,1236.23,98.67,75.66,312.94,41.18,666.62,509.0,94.96,97.67,94.04,1126.0,579.0,678.0,2383.0,93.0,127.0,12.0,253.0,4.0,504.0,724.0,1033.0,1612.0,174.0,373.0,995.0,1143.0,192.0,657.0,1338.0,270.0,97.0,38.14,33.52,27.01,43.0,37.0,13.0,2346.96,1705.0,1688.18,307.0,15.64,25.21,25.4,88.84,88.01,86.36,1450.74,127.87,93.38,365.79,48.98,781.4,576.59,123.25,129.0,124.37,1291.0,703.0,824.0,2818.0,103.0,145.0,15.0,328.0,4.0,621.0,793.0,1188.0,1891.0,175.0,377.0,1288.0,838.0,202.0,616.0,1485.0,375.0,134.0,43.82,47.18,36.87,33.0,45.0,25.0,2857.94,1994.0,2014.27,300.0,19.39,28.27,28.68,118.58,119.59,117.71
ANA,2024,ANA,ANA,Team Level,4on5,52,0.12,0.13,0.13,13606.0,35.46,4.25,1.78,5.92,1.4,11.13,23.52,3.44,4.25,3.44,39.0,9.0,13.0,61.0,1.0,7.0,0.0,1.0,0.0,8.0,31.0,38.0,47.0,6.0,12.0,111.0,37.0,18.0,21.0,32.0,8.0,8.0,0.95,1.0,2.29,1.0,0.0,0.0,61.0,48.0,48.0,17.0,0.41,2.0,2.0,2.66,2.66,2.53,237.3,31.94,21.94,49.52,7.69,135.44,72.47,29.84,31.94,29.84,223.0,96.0,100.0,419.0,32.0,35.0,8.0,52.0,1.0,106.0,93.0,191.0,287.0,1.0,2.0,135.0,6.0,8.0,35.0,218.0,59.0,42.0,5.59,6.92,19.43,3.0,7.0,22.0,419.0,319.0,319.0,1.0,5.78,8.45,8.09,29.63,29.63,28.23
ANA,2024,ANA,ANA,Team Level,5on4,52,0.88,0.89,0.87,14659.0,217.84,25.62,18.48,49.33,7.19,130.55,68.83,24.19,25.62,24.19,201.0,99.0,96.0,396.0,17.0,22.0,1.0,44.0,2.0,116.0,99.0,184.0,283.0,5.0,10.0,114.0,5.0,13.0,38.0,202.0,67.0,31.0,6.15,7.66,11.82,3.0,5.0,9.0,396.0,300.0,300.0,6.0,4.71,4.49,4.3,26.04,26.04,25.1,34.36,3.52,1.81,4.87,1.13,10.81,23.87,3.47,3.52,3.47,34.0,12.0,4.0,50.0,3.0,0.0,0.0,4.0,0.0,8.0,31.0,31.0,43.0,6.0,14.0,144.0,23.0,21.0,26.0,29.0,13.0,4.0,0.87,1.62,1.02,1.0,1.0,1.0,50.0,46.0,46.0,19.0,0.42,0.0,0.0,3.93,3.93,3.87
BOS,2024,BOS,BOS,Team Level,other,54,0.55,0.51,0.51,6903.0,104.67,24.79,7.08,19.05,3.64,55.34,37.09,23.45,24.79,23.45,90.0,57.0,56.0,203.0,26.0,7.0,2.0,11.0,2.0,50.0,51.0,64.0,121.0,3.0,6.0,86.0,22.0,21.0,19.0,78.0,30.0,39.0,3.04,3.57,18.17,5.0,4.0,17.0,203.0,147.0,147.0,7.0,2.01,2.31,2.31,24.49,24.49,23.8,99.84,20.34,6.92,18.76,3.76,54.24,35.99,19.69,20.34,19.69,93.0,47.0,52.0,192.0,25.0,9.0,2.0,15.0,1.0,42.0,48.0,68.0,115.0,3.0,8.0,92.0,12.0,8.0,18.0,82.0,28.0,30.0,3.4,3.25,13.69,5.0,3.0,17.0,192.0,140.0,140.0,10.0,1.97,2.54,2.54,19.77,19.77,19.41
BOS,2024,BOS,BOS,Team Level,all,54,0.5,0.49,0.49,196791.0,1621.53,165.06,108.86,392.29,54.78,859.42,628.57,157.03,165.07,157.04,1474.0,735.0,903.0,3112.0,149.0,168.0,17.0,293.0,5.0,685.0,909.0,1325.0,2060.0,217.0,500.0,1610.0,1437.0,316.0,900.0,1605.0,400.0,204.0,44.25,49.43,71.38,52.0,55.0,42.0,3097.98,2209.0,2206.29,442.0,24.49,36.24,36.24,153.32,153.41,149.42,1694.11,163.98,111.19,417.16,58.0,915.73,672.95,157.77,165.02,158.72,1540.0,799.0,903.0,3242.0,174.0,167.0,20.0,354.0,5.0,717.0,922.0,1366.0,2165.0,213.0,488.0,1505.0,1196.0,305.0,875.0,1751.0,408.0,180.0,49.05,51.58,63.34,69.0,51.0,54.0,3267.66,2339.0,2357.0,408.0,24.77,33.78,33.87,154.87,155.59,152.72
BOS,2024,BOS,BOS,Team Level,5on5,54,0.5,0.49,0.48,158561.0,1228.37,104.85,77.35,309.75,41.08,655.21,489.75,100.86,104.87,100.87,1109.0,569.0,737.0,2415.0,97.0,123.0,13.0,234.0,3.0,501.0,720.0,1012.0,1581.0,195.0,456.0,1224.0,1360.0,266.0,793.0,1259.0,300.0,119.0,33.16,37.48,34.22,41.0,43.0,13.0,2400.98,1678.0,1675.29,404.0,16.06,26.85,27.14,93.78,93.86,92.48,1311.56,103.83,81.0,340.8,44.72,716.77,530.87,100.23,104.88,101.19,1174.0,644.0,736.0,2554.0,101.0,122.0,10.0,278.0,3.0,576.0,738.0,1073.0,1717.0,193.0,446.0,1132.0,1135.0,257.0,778.0,1420.0,306.0,92.0,38.77,38.91,26.16,54.0,32.0,15.0,2579.66,1818.0,1836.0,368.0,16.77,24.18,24.19,96.41,97.13,95.63
BOS,2024,BOS,BOS,Team Level,4on5,54,0.09,0.13,0.16,15423.0,40.83,3.36,2.05,6.25,1.39,14.05,28.89,3.29,3.36,3.29,43.0,13.0,3.0,59.0,3.0,2.0,0.0,3.0,0.0,14.0,34.0,40.0,53.0,5.0,10.0,134.0,33.0,12.0,33.0,45.0,7.0,4.0,1.42,0.89,1.05,3.0,0.0,0.0,59.0,56.0,56.0,24.0,0.47,0.53,0.53,3.3,3.3,3.29,223.09,33.17,20.29,48.53,7.59,126.69,66.74,31.64,33.17,31.64,215.0,88.0,106.0,409.0,42.0,31.0,8.0,59.0,0.0,88.0,83.0,173.0,261.0,13.0,26.0,158.0,14.0,17.0,48.0,194.0,63.0,46.0,5.27,7.98,19.92,7.0,15.0,20.0,409.0,303.0,303.0,6.0,5.34,5.6,5.6,32.91,32.91,31.96
BOS,2024,BOS,BOS,Team Level,5on4,54,0.83,0.83,0.81,15904.0,247.66,32.06,22.37,57.24,8.67,134.83,72.83,29.42,32.06,29.42,232.0,96.0,107.0,435.0,23.0,36.0,2.0,45.0,0.0,120.0,104.0,209.0,305.0,14.0,28.0,166.0,22.0,17.0,55.0,223.0,63.0,42.0,6.62,7.49,17.95,3.0,8.0,12.0,435.0,328.0,328.0,7.0,5.95,6.54,6.25,31.76,31.76,29.85,59.62,6.63,2.99,9.06,1.94,18.03,39.35,6.2,6.63,6.2,58.0,20.0,9.0,87.0,6.0,5.0,0.0,2.0,1.0,11.0,53.0,52.0,72.0,4.0,8.0,123.0,35.0,23.0,31.0,55.0,11.0,12.0,1.61,1.45,3.58,3.0,1.0,2.0,87.0,78.0,78.0,24.0,0.69,1.46,1.53,5.79,5.79,5.72
WSH,2024,WSH,WSH,Team Level,other,52,0.58,0.47,0.48,7851.0,101.18,30.14,5.91,17.41,3.19,48.52,36.82,27.66,30.14,27.66,95.0,47.0,48.0,190.0,29.0,5.0,0.0,18.0,1.0,53.0,36.0,66.0,113.0,3.0,14.0,93.0,22.0,10.0,16.0,82.0,17.0,43.0,3.07,2.27,24.8,5.0,0.0,24.0,190.0,142.0,142.0,4.0,1.71,1.5,1.5,30.36,30.36,27.85,112.29,21.76,8.07,20.7,3.75,63.24,34.48,20.25,21.76,20.25,96.0,56.0,58.0,210.0,16.0,7.0,0.0,24.0,1.0,58.0,46.0,80.0,136.0,2.0,6.0,92.0,16.0,15.0,19.0,84.0,41.0,27.0,3.6,5.12,13.04,2.0,4.0,10.0,210.0,152.0,152.0,5.0,2.36,2.44,2.56,21.56,21.56,20.16
WSH,2024,WSH,WSH,Team Level,all,52,0.53,0.49,0.5,189299.0,1622.89,178.96,107.08,396.14,55.36,861.58,635.87,169.39,180.8,171.22,1428.0,807.0,847.0,3082.0,182.0,173.0,19.0,293.0,3.0,652.0,932.0,1246.0,2053.0,187.0,410.0,1475.0,1034.0,235.0,776.0,1583.0,437.0,215.0,45.88,55.3,77.8,66.0,51.0,65.0,3133.55,2235.0,2270.68,371.0,23.82,35.97,36.04,166.75,168.6,162.96,1608.97,157.61,106.69,388.21,54.45,861.96,625.08,149.44,156.81,148.7,1437.0,757.0,970.0,3164.0,127.0,169.0,14.0,314.0,5.0,698.0,881.0,1310.0,2067.0,182.0,403.0,1446.0,994.0,237.0,803.0,1598.0,409.0,187.0,45.79,51.23,60.6,50.0,36.0,41.0,3121.9,2194.0,2173.75,382.0,23.84,37.43,37.43,144.02,143.26,139.43
WSH,2024,WSH,WSH,Team Level,5on5,52,0.52,0.5,0.51,153217.0,1270.82,114.7,80.59,325.76,43.71,682.82,510.41,110.37,116.54,112.2,1102.0,656.0,694.0,2452.0,121.0,132.0,17.0,235.0,0.0,501.0,769.0,981.0,1637.0,168.0,365.0,1125.0,947.0,195.0,686.0,1297.0,339.0,122.0,37.5,42.95,34.24,54.0,42.0,25.0,2503.55,1758.0,1793.68,341.0,16.77,26.15,26.15,105.32,107.19,105.63,1237.69,107.97,77.86,312.95,42.09,656.08,491.05,102.59,107.16,101.84,1099.0,589.0,796.0,2484.0,84.0,127.0,9.0,240.0,2.0,535.0,700.0,1015.0,1604.0,162.0,358.0,1090.0,938.0,201.0,704.0,1258.0,306.0,124.0,34.86,38.93,34.17,43.0,26.0,15.0,2441.9,1688.0,1667.75,345.0,16.16,28.01,27.89,96.23,95.47,93.7
WSH,2024,WSH,WSH,Team Level,4on5,52,0.14,0.13,0.14,14535.0,37.6,3.96,1.95,5.94,1.34,11.95,24.87,3.87,3.96,3.87,39.0,11.0,8.0,58.0,3.0,3.0,0.0,2.0,1.0,7.0,34.0,36.0,47.0,2.0,4.0,111.0,35.0,18.0,25.0,34.0,12.0,4.0,0.87,1.58,1.52,2.0,1.0,0.0,58.0,50.0,50.0,20.0,0.44,1.01,1.09,3.32,3.32,3.29,215.61,23.66,18.8,48.18,7.33,129.28,69.73,22.42,23.66,22.42,194.0,103.0,109.0,406.0,22.0,31.0,4.0,47.0,2.0,93.0,102.0,172.0,275.0,9.0,18.0,146.0,14.0,5.0,56.0,215.0,52.0,30.0,6.16,5.94,11.57,5.0,3.0,14.0,406.0,297.0,297.0,11.0,4.87,6.19,6.19,22.34,22.34,21.71
WSH,2024,WSH,WSH,Team Level,5on4,52,0.88,0.86,0.83,13696.0,213.28,30.16,18.62,47.05,7.12,118.3,63.76,27.49,30.16,27.49,192.0,93.0,97.0,382.0,29.0,33.0,2.0,38.0,1.0,91.0,93.0,163.0,256.0,14.0,27.0,146.0,30.0,12.0,49.0,170.0,69.0,46.0,4.43,8.49,17.23,5.0,8.0,16.0,382.0,285.0,285.0,6.0,4.89,7.31,7.31,27.74,27.74,26.2,43.37,4.22,1.95,6.37,1.28,13.36,29.82,4.18,4.22,4.18,48.0,9.0,7.0,64.0,5.0,4.0,1.0,3.0,0.0,12.0,33.0,43.0,52.0,9.0,21.0,118.0,26.0,16.0,24.0,41.0,10.0,6.0,1.16,1.25,1.82,0.0,3.0,2.0,64.0,57.0,57.0,21.0,0.44,0.78,0.78,3.88,3.88,3.87
CHI,2024,CHI,CHI,Team Level,other,52,0.41,0.49,0.45,6152.0,74.17,18.45,5.93,13.31,2.6,40.6,20.12,15.82,18.45,15.82,67.0,34.0,45.0,146.0,18.0,9.0,2.0,7.0,0.0,37.0,30.0,49.0,83.0,6.0,12.0,77.0,12.0,3.0,13.0,45.0,25.0,31.0,1.84,3.2,13.41,2.0,4.0,12.0,146.0,101.0,101.0,4.0,1.8,2.97,2.97,17.28,17.28,15.45,86.58,26.05,6.53,14.78,3.07,47.0,25.64,24.67,26.05,24.67,87.0,37.0,28.0,152.0,27.0,14.0,2.0,8.0,0.0,47.0,28.0,60.0,97.0,5.0,10.0,61.0,14.0,6.0,20.0,57.0,27.0,40.0,2.24,3.46,20.35,2.0,4.0,21.0,152.0,124.0,124.0,14.0,1.86,2.73,2.92,24.93,24.93,24.1
CHI,2024,CHI,CHI,Team Level,all,52,0.42,0.44,0.44,188131.0,1361.59,128.87,90.68,328.34,45.01,736.03,537.08,122.77,128.95,122.87,1278.0,588.0,714.0,2580.0,134.0,134.0,15.0,237.0,2.0,549.0,810.0,1144.0,1732.0,172.0,377.0,1267.0,995.0,277.0,705.0,1385.0,333.0,148.0,38.97,41.53,48.37,49.0,48.0,37.0,2558.01,1866.0,1856.53,354.0,20.09,25.9,25.9,123.05,123.22,119.74,1738.2,174.74,120.11,414.79,58.5,947.68,675.23,166.13,175.81,167.18,1639.0,753.0,901.0,3293.0,178.0,196.0,24.0,314.0,4.0,750.0,950.0,1461.0,2214.0,150.0,333.0,1536.0,1077.0,248.0,729.0,1749.0,441.0,202.0,49.9,55.95,68.89,58.0,71.0,49.0,3319.84,2392.0,2409.28,323.0,26.61,38.78,38.78,162.51,163.29,159.07
CHI,2024,CHI,CHI,Team Level,5on5,52,0.44,0.44,0.44,155491.0,1103.99,90.49,69.63,276.99,36.41,594.78,446.69,87.84,90.58,87.94,1038.0,477.0,609.0,2124.0,91.0,109.0,11.0,204.0,2.0,432.0,677.0,947.0,1424.0,162.0,354.0,983.0,947.0,238.0,622.0,1157.0,268.0,90.0,31.87,33.44,25.18,41.0,37.0,13.0,2102.01,1515.0,1505.53,321.0,14.37,19.81,19.81,85.06,85.23,84.18,1390.34,117.13,91.42,346.97,46.75,756.9,556.84,112.57,118.2,113.62,1303.0,613.0,772.0,2688.0,123.0,151.0,18.0,262.0,4.0,589.0,787.0,1180.0,1793.0,130.0,290.0,1227.0,1013.0,216.0,644.0,1449.0,344.0,123.0,41.38,43.97,31.78,52.0,55.0,16.0,2714.84,1916.0,1933.28,289.0,18.96,28.24,28.24,107.85,108.63,106.61
