team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
UTA,2024,UTA,UTA,Team Level,5on4,52,0.9,0.87,0.86,13723.0,184.55,27.83,14.86,36.63,5.77,108.76,59.16,26.52,27.83,26.52,165.0,88.0,86.0,339.0,29.0,11.0,1.0,33.0,0.0,100.0,80.0,136.0,224.0,11.0,22.0,128.0,10.0,14.0,41.0,154.0,66.0,33.0,4.15,7.58,16.11,5.0,6.0,18.0,339.0,253.0,253.0,6.0,3.8,3.61,3.58,28.06,28.06,26.98,30.06,2.94,1.33,4.66,0.95,9.31,20.8,2.9,2.94,2.9,36.0,4.0,9.0,49.0,3.0,1.0,1.0,1.0,0.0,9.0,26.0,33.0,37.0,3.0,6.0,115.0,33.0,21.0,21.0,27.0,10.0,3.0,0.95,1.25,0.74,2.0,1.0,0.0,49.0,40.0,40.0,18.0,0.3,0.13,0.13,3.11,3.11,3.09
DET,2024,DET,DET,Team Level,other,53,0.54,0.45,0.47,6222.0,85.97,28.31,5.72,13.55,2.71,39.82,24.89,25.46,28.31,25.46,81.0,34.0,31.0,146.0,24.0,8.0,1.0,16.0,1.0,38.0,28.0,57.0,91.0,1.0,2.0,84.0,17.0,11.0,22.0,47.0,27.0,41.0,1.79,3.52,22.99,2.0,4.0,18.0,146.0,115.0,115.0,6.0,1.73,2.52,2.52,27.53,27.53,25.07,97.89,24.11,6.91,17.95,3.38,52.03,27.63,22.27,24.11,22.27,90.0,42.0,49.0,181.0,18.0,12.0,0.0,20.0,0.0,49.0,33.0,72.0,114.0,5.0,10.0,83.0,18.0,14.0,18.0,60.0,37.0,35.0,2.29,4.3,17.51,4.0,2.0,12.0,181.0,132.0,132.0,8.0,2.04,4.08,4.19,21.97,21.97,20.75
DET,2024,DET,DET,Team Level,all,53,0.48,0.48,0.47,192817.0,1536.47,160.47,102.8,367.02,50.83,826.55,591.34,152.36,159.99,151.87,1401.0,698.0,878.0,2977.0,150.0,133.0,14.0,283.0,6.0,670.0,857.0,1251.0,1949.0,147.0,310.0,1527.0,922.0,243.0,820.0,1519.0,406.0,174.0,44.07,50.16,66.25,46.0,51.0,53.0,2954.94,2099.0,2090.37,419.0,22.96,29.87,29.87,153.57,153.09,147.87,1703.67,172.26,114.16,415.75,57.76,925.14,657.93,162.57,173.63,163.88,1558.0,785.0,896.0,3239.0,161.0,169.0,19.0,332.0,5.0,785.0,891.0,1397.0,2182.0,172.0,358.0,1508.0,1142.0,250.0,790.0,1710.0,428.0,205.0,47.88,52.07,72.3,62.0,44.0,55.0,3264.25,2343.0,2356.18,386.0,25.26,37.7,37.72,159.8,161.09,156.18
DET,2024,DET,DET,Team Level,5on5,53,0.46,0.47,0.46,160320.0,1188.93,96.18,74.01,299.86,39.75,645.42,479.78,93.18,95.7,92.69,1078.0,557.0,730.0,2365.0,88.0,98.0,8.0,233.0,5.0,509.0,702.0,990.0,1547.0,137.0,290.0,1198.0,860.0,211.0,733.0,1263.0,289.0,83.0,36.16,35.93,24.09,37.0,38.0,13.0,2342.94,1635.0,1626.37,392.0,15.35,20.86,20.86,90.67,90.2,89.07,1376.41,114.79,88.14,351.25,46.81,745.41,551.58,109.21,116.17,110.52,1251.0,647.0,729.0,2627.0,100.0,130.0,13.0,284.0,3.0,634.0,747.0,1151.0,1798.0,156.0,326.0,1205.0,1088.0,216.0,712.0,1442.0,329.0,127.0,39.23,40.32,35.24,50.0,36.0,14.0,2652.25,1898.0,1911.18,353.0,18.25,27.21,27.13,105.92,107.22,104.99
DET,2024,DET,DET,Team Level,4on5,53,0.06,0.1,0.11,12135.0,27.7,2.14,1.19,4.55,0.81,8.43,18.88,2.03,2.14,2.03,28.0,8.0,6.0,42.0,2.0,1.0,0.0,2.0,0.0,3.0,28.0,26.0,34.0,2.0,4.0,107.0,41.0,11.0,22.0,29.0,4.0,3.0,0.82,0.48,0.84,1.0,1.0,0.0,42.0,36.0,36.0,18.0,0.27,0.29,0.29,2.13,2.13,2.1,204.5,31.08,17.67,43.05,6.77,119.24,61.19,28.85,31.08,28.85,190.0,89.0,109.0,388.0,39.0,27.0,6.0,25.0,2.0,98.0,88.0,151.0,240.0,7.0,14.0,108.0,4.0,6.0,32.0,184.0,54.0,41.0,5.58,6.38,19.12,5.0,6.0,28.0,388.0,279.0,279.0,2.0,4.63,6.41,6.41,29.3,29.3,27.88
DET,2024,DET,DET,Team Level,5on4,53,0.94,0.91,0.9,14140.0,233.87,33.84,21.87,49.05,7.56,132.89,67.79,31.68,33.84,31.68,214.0,99.0,111.0,424.0,36.0,26.0,5.0,32.0,0.0,120.0,99.0,178.0,277.0,7.0,14.0,138.0,4.0,10.0,43.0,180.0,86.0,47.0,5.29,10.23,18.32,6.0,8.0,22.0,424.0,313.0,313.0,3.0,5.61,6.21,6.21,33.24,33.24,31.63,24.87,2.27,1.45,3.5,0.79,8.46,17.53,2.23,2.27,2.23,27.0,7.0,9.0,43.0,4.0,0.0,0.0,3.0,0.0,4.0,23.0,23.0,30.0,4.0,8.0,112.0,32.0,14.0,28.0,24.0,8.0,2.0,0.79,1.05,0.43,3.0,0.0,1.0,43.0,34.0,34.0,23.0,0.34,0.0,0.0,2.6,2.6,2.56
CBJ,2024,CBJ,CBJ,Team Level,other,53,0.52,0.47,0.49,6773.0,103.86,21.94,7.02,20.35,3.6,53.8,35.28,20.09,21.94,20.09,105.0,37.0,41.0,183.0,19.0,11.0,1.0,16.0,1.0,50.0,45.0,86.0,123.0,4.0,8.0,78.0,16.0,12.0,23.0,79.0,30.0,33.0,2.94,3.92,15.09,4.0,3.0,12.0,183.0,142.0,142.0,11.0,2.01,3.07,3.07,20.88,20.88,19.52,105.88,20.33,7.55,19.81,3.61,60.44,36.27,18.62,20.33,18.62,100.0,48.0,56.0,204.0,26.0,6.0,4.0,16.0,2.0,59.0,39.0,74.0,122.0,1.0,0.0,104.0,18.0,18.0,24.0,81.0,37.0,30.0,3.43,4.64,12.26,4.0,9.0,13.0,204.0,148.0,148.0,8.0,2.23,1.81,1.81,20.74,20.74,19.28
CBJ,2024,CBJ,CBJ,Team Level,all,53,0.47,0.48,0.48,193519.0,1610.39,151.12,105.34,395.34,54.94,853.39,642.87,143.03,151.94,143.82,1547.0,656.0,863.0,3066.0,173.0,174.0,22.0,338.0,6.0,673.0,839.0,1374.0,2030.0,177.0,401.0,1417.0,1023.0,264.0,806.0,1660.0,364.0,179.0,44.33,45.5,61.28,63.0,65.0,45.0,3088.56,2203.0,2218.86,384.0,23.28,36.81,36.81,137.58,138.28,134.41,1711.87,170.1,116.22,411.27,57.6,935.78,663.04,162.3,170.19,162.33,1550.0,804.0,995.0,3349.0,175.0,190.0,22.0,278.0,8.0,730.0,973.0,1375.0,2179.0,154.0,360.0,1610.0,1027.0,283.0,819.0,1694.0,473.0,187.0,49.23,59.73,61.13,61.0,67.0,47.0,3338.57,2354.0,2353.67,376.0,25.77,40.96,41.03,154.84,154.94,150.97
CBJ,2024,CBJ,CBJ,Team Level,5on5,53,0.46,0.47,0.48,161038.0,1283.02,104.59,79.86,329.0,43.8,679.34,519.4,99.35,105.41,100.14,1208.0,548.0,721.0,2477.0,121.0,142.0,19.0,279.0,5.0,526.0,683.0,1087.0,1635.0,156.0,359.0,1110.0,975.0,229.0,715.0,1362.0,280.0,114.0,35.75,35.0,33.85,53.0,50.0,18.0,2499.56,1756.0,1771.86,351.0,16.56,30.5,30.5,90.66,91.35,89.45,1382.26,122.78,89.58,345.54,46.58,748.05,547.46,117.62,122.88,117.65,1218.0,682.0,846.0,2746.0,113.0,167.0,16.0,231.0,5.0,570.0,814.0,1105.0,1787.0,143.0,340.0,1276.0,972.0,241.0,721.0,1415.0,361.0,124.0,40.53,45.48,36.77,50.0,45.0,18.0,2735.57,1900.0,1899.67,336.0,18.58,35.14,35.21,106.15,106.25,104.3
CBJ,2024,CBJ,CBJ,Team Level,4on5,53,0.16,0.17,0.2,13412.0,48.46,4.44,2.31,7.7,1.64,15.85,34.06,4.36,4.44,4.36,55.0,11.0,5.0,71.0,6.0,2.0,0.0,7.0,0.0,7.0,44.0,49.0,60.0,3.0,6.0,115.0,16.0,18.0,23.0,50.0,9.0,7.0,1.27,1.19,1.98,0.0,3.0,3.0,71.0,66.0,66.0,20.0,0.54,0.34,0.34,4.64,4.64,4.57,195.72,24.04,17.63,42.11,6.59,118.5,60.14,23.14,24.04,23.14,200.0,69.0,88.0,357.0,33.0,16.0,2.0,31.0,1.0,96.0,92.0,167.0,236.0,8.0,16.0,123.0,13.0,10.0,41.0,174.0,65.0,30.0,4.56,8.19,11.28,5.0,12.0,16.0,357.0,269.0,269.0,7.0,4.63,3.71,3.71,24.96,24.96,24.42
