team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
EDM,2024,EDM,EDM,Team Level,other,50,0.53,0.5,0.5,6628.0,92.09,21.71,6.28,16.31,3.02,44.83,30.85,20.21,21.71,20.21,84.0,39.0,43.0,166.0,23.0,10.0,3.0,6.0,0.0,43.0,41.0,61.0,100.0,2.0,4.0,72.0,12.0,7.0,21.0,56.0,33.0,34.0,2.43,4.28,15.01,4.0,7.0,12.0,166.0,123.0,123.0,7.0,1.8,3.48,3.48,20.03,20.03,19.35,87.3,19.1,6.11,17.03,3.11,49.54,29.12,17.62,19.1,17.62,77.0,47.0,43.0,167.0,11.0,7.0,0.0,9.0,2.0,61.0,34.0,66.0,113.0,2.0,4.0,61.0,15.0,10.0,19.0,71.0,25.0,28.0,2.73,2.96,13.41,4.0,1.0,6.0,167.0,124.0,124.0,9.0,1.76,1.2,1.2,19.66,19.66,18.32
EDM,2024,EDM,EDM,Team Level,all,50,0.56,0.54,0.54,181031.0,1675.36,169.48,111.31,402.46,55.79,885.87,657.09,161.09,169.84,161.43,1597.0,685.0,862.0,3144.0,166.0,186.0,24.0,327.0,2.0,721.0,880.0,1431.0,2116.0,143.0,331.0,1428.0,660.0,267.0,756.0,1650.0,451.0,181.0,48.3,56.18,65.0,60.0,60.0,46.0,3163.16,2282.0,2296.1,308.0,24.49,41.61,41.61,152.35,152.81,149.31,1414.12,135.05,89.96,348.29,47.64,762.8,555.26,129.13,135.35,129.41,1323.0,616.0,764.0,2703.0,135.0,131.0,15.0,276.0,5.0,607.0,785.0,1188.0,1804.0,154.0,354.0,1292.0,1072.0,241.0,736.0,1463.0,319.0,157.0,41.52,39.26,54.27,58.0,44.0,33.0,2686.91,1939.0,1935.79,337.0,19.76,27.78,27.78,127.03,126.96,123.14
EDM,2024,EDM,EDM,Team Level,5on5,50,0.55,0.54,0.54,151830.0,1373.0,117.87,87.36,343.04,45.79,731.6,553.34,113.11,118.24,113.45,1308.0,571.0,729.0,2608.0,112.0,144.0,16.0,291.0,2.0,586.0,744.0,1196.0,1767.0,129.0,300.0,1143.0,622.0,236.0,674.0,1416.0,348.0,115.0,41.27,43.38,33.22,51.0,47.0,14.0,2627.17,1879.0,1893.1,283.0,18.09,30.94,31.07,104.89,105.34,103.59,1153.72,96.0,70.68,295.61,38.62,617.3,458.78,92.61,96.31,92.9,1082.0,495.0,642.0,2219.0,96.0,114.0,15.0,237.0,3.0,468.0,659.0,986.0,1481.0,144.0,331.0,1057.0,1028.0,212.0,660.0,1216.0,257.0,104.0,34.15,31.92,29.93,49.0,32.0,15.0,2202.91,1577.0,1573.79,305.0,14.61,25.21,25.24,85.38,85.3,83.82
EDM,2024,EDM,EDM,Team Level,4on5,50,0.14,0.14,0.17,10732.0,30.04,2.65,1.41,4.56,0.95,9.37,21.06,2.62,2.65,2.62,31.0,9.0,5.0,45.0,2.0,2.0,0.0,1.0,0.0,11.0,24.0,29.0,38.0,4.0,8.0,97.0,18.0,15.0,16.0,25.0,14.0,1.0,0.64,1.76,0.25,1.0,1.0,0.0,45.0,40.0,40.0,11.0,0.32,0.27,0.27,2.7,2.7,2.69,141.47,16.78,11.62,30.79,4.79,85.92,46.1,15.79,16.78,15.79,137.0,59.0,75.0,271.0,26.0,7.0,0.0,30.0,0.0,71.0,62.0,111.0,170.0,3.0,6.0,86.0,10.0,10.0,36.0,147.0,28.0,21.0,3.81,3.15,9.83,4.0,10.0,12.0,271.0,196.0,196.0,7.0,3.03,0.66,0.63,19.18,19.18,18.19
EDM,2024,EDM,EDM,Team Level,5on4,50,0.9,0.88,0.85,11841.0,180.23,27.24,16.26,38.55,6.03,100.07,51.84,25.15,27.24,25.15,174.0,66.0,85.0,325.0,29.0,30.0,5.0,29.0,0.0,81.0,71.0,145.0,211.0,8.0,19.0,116.0,8.0,9.0,45.0,153.0,56.0,31.0,3.96,6.76,16.53,4.0,5.0,20.0,325.0,240.0,240.0,7.0,4.28,6.91,6.78,24.74,24.74,23.68,31.64,3.17,1.55,4.86,1.11,10.05,21.26,3.1,3.17,3.1,27.0,15.0,4.0,46.0,2.0,3.0,0.0,0.0,0.0,7.0,30.0,25.0,40.0,5.0,13.0,88.0,19.0,9.0,21.0,29.0,9.0,4.0,0.83,1.23,1.1,1.0,1.0,0.0,46.0,42.0,42.0,16.0,0.36,0.71,0.71,2.81,2.81,2.81
VAN,2024,VAN,VAN,Team Level,other,49,0.49,0.48,0.47,6911.0,85.45,19.14,5.51,15.94,3.17,44.85,30.38,17.54,19.14,17.54,76.0,43.0,41.0,160.0,17.0,7.0,1.0,9.0,1.0,41.0,44.0,59.0,102.0,1.0,2.0,75.0,22.0,5.0,19.0,65.0,22.0,32.0,2.52,2.79,13.84,5.0,2.0,10.0,160.0,119.0,119.0,7.0,1.6,2.07,2.19,18.56,18.56,17.17,96.77,19.93,6.68,18.77,3.28,51.13,32.21,18.92,19.93,18.92,89.0,43.0,42.0,174.0,29.0,8.0,3.0,8.0,0.0,44.0,43.0,60.0,103.0,6.0,12.0,59.0,18.0,6.0,26.0,77.0,26.0,29.0,3.11,3.06,13.76,8.0,5.0,16.0,174.0,132.0,132.0,12.0,1.97,2.92,2.92,18.97,18.97,18.27
VAN,2024,VAN,VAN,Team Level,all,49,0.48,0.49,0.48,178869.0,1356.21,130.09,87.52,327.7,45.8,741.79,553.11,124.1,130.45,124.45,1247.0,639.0,786.0,2672.0,139.0,131.0,21.0,248.0,4.0,640.0,724.0,1108.0,1747.0,193.0,444.0,1364.0,1342.0,242.0,634.0,1442.0,290.0,154.0,38.74,36.94,54.41,58.0,34.0,47.0,2671.7,1886.0,1888.46,319.0,19.38,29.73,29.73,119.74,120.06,116.6,1480.75,141.97,98.5,360.75,50.04,806.19,584.56,135.0,142.96,135.98,1331.0,711.0,788.0,2830.0,154.0,142.0,25.0,267.0,1.0,681.0,797.0,1177.0,1888.0,177.0,408.0,1362.0,930.0,212.0,769.0,1529.0,357.0,156.0,41.51,45.54,54.91,64.0,43.0,47.0,2846.32,2042.0,2054.39,356.0,22.0,30.99,31.34,132.64,133.46,129.86
VAN,2024,VAN,VAN,Team Level,5on5,49,0.49,0.49,0.48,144715.0,1058.45,83.57,65.43,267.78,35.41,581.97,436.83,80.21,83.94,80.57,973.0,498.0,655.0,2126.0,92.0,98.0,15.0,212.0,2.0,501.0,566.0,881.0,1379.0,183.0,424.0,1063.0,1250.0,222.0,554.0,1165.0,217.0,89.0,30.84,27.79,24.93,47.0,25.0,20.0,2125.7,1471.0,1473.46,290.0,13.47,20.87,20.75,76.31,76.63,75.29,1129.86,87.27,69.78,290.17,37.79,616.43,461.55,83.71,88.27,84.68,1005.0,558.0,641.0,2204.0,96.0,98.0,16.0,221.0,1.0,523.0,624.0,909.0,1467.0,161.0,376.0,1056.0,875.0,187.0,652.0,1231.0,250.0,82.0,31.87,32.53,22.87,52.0,30.0,14.0,2220.32,1563.0,1575.39,314.0,14.43,19.64,19.99,81.72,82.54,81.09
VAN,2024,VAN,VAN,Team Level,4on5,49,0.08,0.14,0.16,14677.0,42.33,2.73,1.73,6.46,1.36,13.67,32.04,2.7,2.73,2.7,43.0,15.0,5.0,63.0,2.0,3.0,0.0,0.0,1.0,12.0,40.0,41.0,56.0,4.0,8.0,117.0,53.0,9.0,23.0,48.0,10.0,0.0,1.24,1.5,0.0,1.0,1.0,0.0,63.0,58.0,58.0,17.0,0.4,0.21,0.21,2.93,2.93,2.89,221.75,31.36,20.02,46.89,7.79,126.83,68.11,29.0,31.36,29.0,199.0,102.0,97.0,398.0,25.0,32.0,6.0,36.0,0.0,111.0,97.0,174.0,276.0,7.0,14.0,140.0,10.0,13.0,61.0,190.0,71.0,40.0,5.52,8.7,17.15,3.0,5.0,17.0,398.0,301.0,301.0,6.0,5.14,8.07,8.07,28.43,28.43,27.01
VAN,2024,VAN,VAN,Team Level,5on4,49,0.88,0.86,0.84,12566.0,169.98,24.64,14.85,37.5,5.87,101.29,53.85,23.65,24.64,23.65,155.0,83.0,85.0,323.0,28.0,23.0,5.0,27.0,0.0,86.0,74.0,127.0,210.0,5.0,10.0,109.0,17.0,6.0,38.0,164.0,41.0,33.0,4.14,4.86,15.64,5.0,6.0,17.0,323.0,238.0,238.0,5.0,3.9,6.59,6.59,21.95,21.95,21.25,32.36,3.41,2.01,4.91,1.18,11.79,22.69,3.37,3.41,3.37,38.0,8.0,8.0,54.0,4.0,4.0,0.0,2.0,0.0,3.0,33.0,34.0,42.0,3.0,6.0,107.0,27.0,6.0,30.0,31.0,10.0,5.0,1.01,1.26,1.14,1.0,3.0,0.0,54.0,46.0,46.0,24.0,0.45,0.35,0.35,3.51,3.51,3.49
CAR,2024,CAR,CAR,Team Level,other,50,0.52,0.56,0.57,7205.0,106.21,24.17,6.83,19.51,3.5,57.94,36.04,23.23,24.17,23.23,101.0,47.0,54.0,202.0,23.0,6.0,3.0,14.0,1.0,54.0,50.0,78.0,125.0,2.0,4.0,86.0,15.0,17.0,21.0,81.0,33.0,34.0,3.41,3.7,17.07,1.0,5.0,17.0,202.0,148.0,148.0,9.0,2.02,1.52,1.52,24.67,24.67,23.71,81.17,22.47,5.63,14.28,2.8,41.61,24.2,21.33,22.47,21.33,74.0,37.0,49.0,160.0,17.0,8.0,0.0,15.0,1.0,39.0,31.0,57.0,94.0,5.0,10.0,77.0,10.0,6.0,17.0,52.0,23.0,36.0,2.03,2.81,17.63,3.0,0.0,14.0,160.0,111.0,111.0,8.0,1.69,2.37,2.37,21.79,21.79,20.78
CAR,2024,CAR,CAR,Team Level,all,50,0.56,0.59,0.58,181324.0,1858.46,180.61,122.29,463.33,62.5,1008.16,716.1,172.05,181.84,173.21,1600.0,953.0,979.0,3532.0,167.0,202.0,19.0,350.0,6.0,873.0,955.0,1433.0,2386.0,162.0,335.0,1605.0,954.0,283.0,784.0,1885.0,467.0,201.0,53.2,58.23,69.19,55.0,60.0,52.0,3568.04,2553.0,2573.86,339.0,27.14,36.18,36.25,171.49,172.57,166.78,1353.43,142.92,93.21,319.41,45.64,719.47,520.34,136.1,142.66,135.86,1254.0,587.0,639.0,2480.0,138.0,144.0,13.0,247.0,7.0,535.0,770.0,1116.0,1703.0,163.0,351.0,1456.0,1164.0,276.0,789.0,1288.0,375.0,178.0,37.01,45.82,60.1,49.0,46.0,43.0,2466.92,1841.0,1837.68,378.0,20.88,31.73,31.73,132.06,131.88,128.65
CAR,2024,CAR,CAR,Team Level,5on5,50,0.57,0.59,0.59,145590.0,1465.61,123.42,92.3,384.89,49.85,790.53,576.01,118.44,124.64,119.6,1235.0,782.0,824.0,2841.0,108.0,176.0,14.0,284.0,4.0,682.0,763.0,1127.0,1909.0,143.0,297.0,1265.0,893.0,235.0,689.0,1521.0,369.0,127.0,41.87,46.39,35.16,49.0,41.0,18.0,2877.04,2017.0,2037.86,300.0,19.22,32.59,32.66,109.98,111.05,108.89,1048.23,94.13,68.44,256.6,35.15,558.24,415.44,91.09,93.87,90.84,972.0,456.0,513.0,1941.0,102.0,97.0,11.0,195.0,6.0,406.0,622.0,870.0,1326.0,147.0,319.0,1114.0,1079.0,245.0,694.0,1036.0,287.0,105.0,29.91,35.47,28.75,43.0,40.0,19.0,1927.92,1428.0,1424.67,341.0,14.24,21.71,21.71,86.66,86.49,85.29
CAR,2024,CAR,CAR,Team Level,4on5,50,0.14,0.14,0.16,14061.0,36.8,3.64,1.93,5.12,1.11,11.93,25.27,3.63,3.64,3.63,38.0,11.0,5.0,54.0,5.0,1.0,0.0,1.0,0.0,11.0,31.0,33.0,44.0,6.0,12.0,107.0,31.0,15.0,26.0,31.0,14.0,4.0,0.88,1.81,0.96,0.0,5.0,0.0,54.0,49.0,49.0,21.0,0.44,0.29,0.29,3.79,3.79,3.78,189.55,22.8,17.38,43.11,6.57,108.65,57.49,20.37,22.8,20.37,172.0,84.0,67.0,323.0,17.0,36.0,1.0,35.0,0.0,83.0,85.0,155.0,239.0,7.0,14.0,144.0,32.0,8.0,47.0,170.0,55.0,31.0,4.39,6.39,12.02,2.0,6.0,9.0,323.0,256.0,256.0,6.0,4.54,6.93,6.93,20.4,20.4,19.41
CAR,2024,CAR,CAR,Team Level,5on4,50,0.89,0.89,0.88,14468.0,249.82,29.39,21.23,53.82,8.04,147.75,78.78,26.75,29.39,26.75,226.0,113.0,96.0,435.0,31.0,19.0,2.0,51.0,1.0,126.0,111.0,195.0,308.0,11.0,22.0,147.0,15.0,16.0,48.0,252.0,51.0,36.0,7.04,6.34,16.0,5.0,9.0,17.0,435.0,339.0,339.0,9.0,5.45,1.79,1.79,33.05,33.05,30.4,34.47,3.52,1.75,5.42,1.12,10.96,23.22,3.32,3.52,3.32,36.0,10.0,10.0,56.0,2.0,3.0,1.0,2.0,0.0,7.0,32.0,34.0,44.0,4.0,8.0,121.0,43.0,17.0,31.0,30.0,10.0,6.0,0.68,1.14,1.69,1.0,0.0,1.0,56.0,46.0,46.0,23.0,0.41,0.72,0.72,3.2,3.2,3.17
SEA,2024,SEA,SEA,Team Level,other,51,0.47,0.55,0.54,8514.0,106.84,25.34,8.13,18.82,3.82,62.12,33.78,22.84,25.34,22.84,93.0,59.0,58.0,210.0,27.0,10.0,2.0,12.0,2.0,58.0,43.0,66.0,125.0,6.0,12.0,72.0,11.0,8.0,23.0,71.0,45.0,36.0,2.8,5.62,16.91,5.0,8.0,14.0,210.0,152.0,152.0,10.0,2.36,2.76,2.76,24.94,24.94,22.62,87.92,28.02,6.08,14.06,3.17,49.44,28.24,25.9,28.02,25.9,73.0,56.0,46.0,175.0,21.0,5.0,1.0,14.0,0.0,54.0,35.0,52.0,108.0,5.0,10.0,89.0,14.0,10.0,21.0,60.0,18.0,51.0,2.26,2.07,23.69,3.0,2.0,16.0,175.0,129.0,129.0,10.0,1.81,1.36,1.36,28.46,28.46,26.45
SEA,2024,SEA,SEA,Team Level,all,51,0.47,0.47,0.48,184798.0,1524.9,146.5,99.51,370.27,51.46,846.33,613.92,139.36,145.89,138.79,1354.0,774.0,802.0,2930.0,148.0,133.0,16.0,273.0,4.0,728.0,842.0,1206.0,1980.0,136.0,300.0,1392.0,1098.0,250.0,713.0,1609.0,376.0,143.0,43.87,48.2,54.42,54.0,54.0,40.0,2897.59,2128.0,2112.51,337.0,22.05,28.82,28.82,139.74,139.07,134.82,1682.21,166.86,113.32,410.28,57.58,929.98,661.98,159.21,168.63,160.91,1469.0,871.0,930.0,3270.0,160.0,172.0,19.0,360.0,3.0,818.0,827.0,1309.0,2180.0,163.0,350.0,1469.0,1050.0,230.0,712.0,1752.0,382.0,206.0,49.7,47.49,69.67,59.0,57.0,44.0,3320.67,2340.0,2372.54,339.0,25.03,33.81,33.81,158.08,159.59,154.57
SEA,2024,SEA,SEA,Team Level,5on5,51,0.45,0.47,0.47,151675.0,1206.86,90.43,74.12,307.73,40.88,666.41,504.44,87.92,89.82,87.36,1063.0,621.0,654.0,2338.0,98.0,104.0,12.0,226.0,2.0,566.0,688.0,965.0,1586.0,124.0,276.0,1097.0,1055.0,216.0,636.0,1338.0,278.0,68.0,35.6,35.83,19.0,46.0,40.0,12.0,2305.59,1684.0,1668.51,304.0,15.29,19.29,19.51,86.21,85.54,84.28,1345.46,111.67,85.99,343.97,45.91,737.88,543.57,107.58,113.44,109.28,1172.0,697.0,770.0,2639.0,113.0,144.0,16.0,297.0,3.0,638.0,674.0,1059.0,1756.0,143.0,308.0,1158.0,998.0,197.0,651.0,1446.0,306.0,117.0,40.54,38.19,32.95,50.0,49.0,14.0,2689.67,1869.0,1901.54,316.0,17.82,28.4,28.41,101.08,102.59,100.8
SEA,2024,SEA,SEA,Team Level,4on5,51,0.14,0.1,0.11,10784.0,29.35,3.76,1.66,4.68,0.93,8.46,17.51,3.56,3.76,3.56,29.0,8.0,7.0,44.0,1.0,4.0,0.0,0.0,0.0,8.0,24.0,28.0,36.0,0.0,0.0,109.0,27.0,12.0,21.0,23.0,6.0,8.0,0.61,0.92,2.24,1.0,0.0,0.0,44.0,37.0,37.0,19.0,0.39,0.96,0.96,3.19,3.19,3.14,211.53,23.86,19.4,46.73,7.33,131.11,64.56,22.44,23.86,22.44,188.0,105.0,107.0,400.0,25.0,21.0,2.0,45.0,0.0,120.0,82.0,163.0,268.0,9.0,20.0,103.0,8.0,4.0,24.0,213.0,46.0,34.0,6.09,5.66,12.11,6.0,6.0,13.0,400.0,293.0,293.0,3.0,4.97,4.03,4.03,24.81,24.81,23.61
SEA,2024,SEA,SEA,Team Level,5on4,51,0.89,0.86,0.84,13825.0,181.85,26.98,15.61,39.04,5.83,109.34,58.19,25.03,26.98,25.03,169.0,86.0,83.0,338.0,22.0,15.0,2.0,35.0,0.0,96.0,87.0,147.0,233.0,6.0,12.0,114.0,5.0,14.0,33.0,177.0,47.0,31.0,4.87,5.84,16.27,2.0,6.0,14.0,338.0,255.0,255.0,4.0,4.01,5.82,5.6,25.4,25.4,24.78,37.3,3.31,1.84,5.52,1.17,11.55,25.6,3.3,3.31,3.3,36.0,13.0,7.0,56.0,1.0,2.0,0.0,4.0,0.0,6.0,36.0,35.0,48.0,6.0,12.0,119.0,30.0,19.0,16.0,33.0,12.0,4.0,0.81,1.58,0.92,0.0,0.0,1.0,56.0,49.0,49.0,10.0,0.43,0.02,0.01,3.73,3.73,3.71
STL,2024,STL,STL,Team Level,other,51,0.54,0.57,0.54,6975.0,82.32,17.78,6.01,16.02,2.8,43.69,24.7,16.51,17.78,16.51,80.0,31.0,65.0,176.0,22.0,15.0,8.0,7.0,3.0,36.0,28.0,58.0,89.0,2.0,4.0,96.0,20.0,9.0,18.0,62.0,21.0,28.0,2.51,2.75,12.53,7.0,3.0,12.0,176.0,111.0,111.0,6.0,1.73,5.37,5.37,14.14,14.14,13.69,67.68,15.3,4.41,11.15,2.14,37.25,24.75,14.79,15.3,14.79,64.0,31.0,38.0,133.0,20.0,3.0,1.0,9.0,1.0,28.0,34.0,44.0,75.0,2.0,4.0,71.0,19.0,13.0,19.0,48.0,26.0,21.0,1.91,3.17,10.22,2.0,7.0,11.0,133.0,95.0,95.0,6.0,1.24,0.86,0.86,15.68,15.68,15.15
STL,2024,STL,STL,Team Level,all,51,0.48,0.49,0.48,185342.0,1454.95,138.51,96.22,352.14,47.57,790.87,570.67,133.11,138.93,133.5,1373.0,623.0,858.0,2854.0,140.0,129.0,21.0,303.0,6.0,594.0,824.0,1233.0,1856.0,163.0,367.0,1424.0,1213.0,220.0,806.0,1503.0,337.0,156.0,42.73,42.0,53.77,60.0,37.0,43.0,2848.41,1996.0,1993.32,372.0,21.26,30.46,30.46,129.31,129.64,127.09,1548.99,147.87,101.82,377.95,52.04,841.87,611.46,139.79,148.76,140.66,1447.0,686.0,854.0,2987.0,154.0,144.0,16.0,333.0,2.0,663.0,837.0,1293.0,1979.0,153.0,350.0,1428.0,1031.0,259.0,731.0,1599.0,369.0,165.0,44.94,45.16,57.77,53.0,56.0,45.0,3001.43,2133.0,2150.61,333.0,22.37,30.23,30.24,140.01,140.89,136.77
STL,2024,STL,STL,Team Level,5on5,51,0.49,0.49,0.48,155292.0,1176.67,97.13,74.15,296.09,38.15,637.31,472.17,94.15,97.55,94.55,1117.0,498.0,709.0,2324.0,98.0,94.0,11.0,263.0,1.0,474.0,685.0,1019.0,1517.0,152.0,342.0,1123.0,1152.0,194.0,741.0,1241.0,272.0,102.0,34.91,34.19,28.03,51.0,32.0,15.0,2318.41,1615.0,1612.32,349.0,15.31,21.25,21.5,90.95,91.28,90.13,1261.32,100.36,79.11,322.02,42.53,686.29,506.68,96.76,101.25,97.62,1174.0,563.0,725.0,2462.0,97.0,114.0,11.0,292.0,1.0,538.0,695.0,1077.0,1640.0,143.0,327.0,1161.0,963.0,221.0,665.0,1356.0,279.0,102.0,37.58,34.29,28.48,43.0,41.0,13.0,2476.43,1737.0,1754.61,316.0,16.43,22.09,22.1,94.69,95.58,94.0
STL,2024,STL,STL,Team Level,4on5,51,0.05,0.11,0.13,11772.0,26.84,1.56,1.22,3.73,0.82,8.95,20.74,1.54,1.56,1.54,29.0,8.0,4.0,41.0,1.0,0.0,0.0,2.0,0.0,3.0,31.0,28.0,36.0,2.0,4.0,105.0,22.0,11.0,18.0,32.0,5.0,0.0,0.99,0.57,0.0,1.0,0.0,0.0,41.0,37.0,37.0,14.0,0.28,0.0,0.0,1.84,1.84,1.81,188.95,30.26,16.9,39.86,6.37,108.31,57.29,26.33,30.26,26.33,177.0,82.0,84.0,343.0,33.0,26.0,4.0,30.0,0.0,93.0,77.0,144.0,226.0,5.0,10.0,98.0,11.0,13.0,33.0,159.0,60.0,40.0,4.51,7.19,18.57,6.0,7.0,20.0,343.0,259.0,259.0,4.0,4.38,7.12,7.12,27.52,27.52,25.54
STL,2024,STL,STL,Team Level,5on4,51,0.92,0.86,0.85,11303.0,169.11,22.04,14.84,36.32,5.81,100.93,53.06,20.9,22.04,20.9,147.0,86.0,80.0,313.0,19.0,20.0,2.0,31.0,2.0,81.0,80.0,128.0,214.0,7.0,17.0,100.0,19.0,6.0,29.0,168.0,39.0,26.0,4.32,4.5,13.22,1.0,2.0,16.0,313.0,233.0,233.0,3.0,3.95,3.85,3.6,22.39,22.39,21.47,31.04,1.95,1.4,4.92,1.0,10.01,22.73,1.92,1.95,1.92,32.0,10.0,7.0,49.0,4.0,1.0,0.0,2.0,0.0,4.0,31.0,28.0,38.0,3.0,9.0,98.0,38.0,12.0,14.0,36.0,4.0,2.0,0.94,0.52,0.5,2.0,1.0,1.0,49.0,42.0,42.0,7.0,0.32,0.16,0.16,2.12,2.12,2.08
COL,2024,COL,COL,Team Level,other,51,0.51,0.51,0.53,8620.0,127.23,29.61,9.7,22.57,4.41,71.01,38.7,27.64,29.61,27.64,122.0,54.0,53.0,229.0,36.0,11.0,2.0,12.0,1.0,61.0,55.0,86.0,140.0,6.0,12.0,88.0,18.0,13.0,29.0,90.0,45.0,41.0,3.83,6.12,19.66,6.0,6.0,24.0,229.0,176.0,176.0,8.0,2.84,2.64,2.64,29.81,29.81,28.28,110.36,28.73,8.55,20.38,3.93,61.85,32.55,26.39,28.73,26.39,97.0,59.0,64.0,220.0,24.0,18.0,2.0,12.0,1.0,71.0,30.0,73.0,132.0,7.0,14.0,105.0,11.0,10.0,21.0,70.0,38.0,48.0,2.4,4.58,21.75,2.0,4.0,18.0,220.0,156.0,156.0,9.0,2.47,5.62,6.01,25.2,25.2,24.14
COL,2024,COL,COL,Team Level,all,51,0.52,0.53,0.52,184954.0,1596.53,159.82,106.35,387.28,53.88,880.66,627.02,151.9,159.72,151.82,1486.0,729.0,972.0,3187.0,167.0,147.0,23.0,280.0,6.0,715.0,900.0,1319.0,2048.0,142.0,304.0,1305.0,962.0,244.0,770.0,1643.0,401.0,171.0,48.52,49.52,61.77,63.0,46.0,58.0,3176.49,2215.0,2211.53,329.0,23.71,32.58,32.64,150.89,150.87,146.27,1473.28,148.12,99.99,358.48,49.84,793.97,568.6,141.57,148.53,141.98,1356.0,663.0,820.0,2839.0,159.0,165.0,18.0,294.0,2.0,619.0,780.0,1197.0,1860.0,168.0,351.0,1626.0,942.0,230.0,746.0,1459.0,391.0,169.0,40.07,48.77,59.27,56.0,55.0,48.0,2850.72,2019.0,2026.67,340.0,22.37,34.26,34.26,136.22,136.72,133.88
COL,2024,COL,COL,Team Level,5on5,51,0.52,0.53,0.53,150234.0,1258.61,100.91,78.94,324.23,42.48,692.21,508.22,98.13,100.82,98.06,1167.0,580.0,811.0,2558.0,101.0,110.0,18.0,234.0,4.0,569.0,729.0,1066.0,1646.0,123.0,263.0,1020.0,904.0,214.0,672.0,1356.0,300.0,91.0,38.89,36.56,25.46,48.0,33.0,20.0,2547.49,1747.0,1743.53,291.0,16.33,22.21,22.26,94.98,94.96,93.8,1138.91,94.36,72.52,290.76,38.28,611.73,455.35,91.16,94.76,91.57,1041.0,522.0,671.0,2234.0,107.0,122.0,15.0,250.0,1.0,441.0,642.0,934.0,1456.0,146.0,305.0,1280.0,887.0,193.0,675.0,1179.0,297.0,87.0,32.0,37.31,25.05,47.0,43.0,17.0,2245.72,1563.0,1570.67,314.0,15.02,24.54,24.29,85.09,85.59,84.43
COL,2024,COL,COL,Team Level,4on5,51,0.11,0.14,0.15,12181.0,34.44,2.76,1.44,4.83,1.06,10.28,24.63,2.74,2.76,2.74,34.0,11.0,7.0,52.0,3.0,2.0,0.0,2.0,0.0,6.0,32.0,31.0,42.0,3.0,6.0,88.0,25.0,12.0,26.0,32.0,10.0,3.0,1.01,1.09,0.66,2.0,1.0,0.0,52.0,45.0,45.0,22.0,0.34,0.33,0.33,2.77,2.77,2.76,187.9,21.62,17.16,41.58,6.44,109.31,56.9,20.7,21.62,20.7,184.0,69.0,80.0,333.0,24.0,20.0,0.0,29.0,0.0,104.0,76.0,160.0,229.0,10.0,22.0,124.0,18.0,11.0,31.0,181.0,42.0,30.0,4.95,5.22,11.46,7.0,6.0,11.0,333.0,253.0,253.0,1.0,4.47,3.26,3.13,22.97,22.97,22.35
