team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2024,VGK,VGK,Team Level,other,50,0.51,0.4,0.41,5492.0,67.38,23.1,4.56,10.26,2.25,34.89,17.93,21.73,23.1,21.73,63.0,30.0,32.0,125.0,23.0,7.0,0.0,8.0,0.0,34.0,21.0,40.0,70.0,1.0,2.0,64.0,15.0,8.0,21.0,33.0,24.0,36.0,1.48,3.25,18.37,3.0,4.0,16.0,125.0,93.0,93.0,10.0,1.39,1.86,1.86,22.63,22.63,21.75,97.36,21.9,7.4,16.95,3.36,56.72,26.68,18.95,21.9,18.95,80.0,53.0,55.0,188.0,10.0,9.0,1.0,18.0,4.0,57.0,35.0,70.0,123.0,1.0,2.0,64.0,12.0,9.0,19.0,62.0,39.0,32.0,2.51,4.66,14.73,1.0,3.0,6.0,188.0,133.0,133.0,7.0,2.29,3.46,3.46,20.73,20.73,18.5
VGK,2024,VGK,VGK,Team Level,all,50,0.53,0.5,0.51,181574.0,1617.71,172.51,107.89,384.08,53.56,864.3,623.66,161.13,173.25,161.85,1526.0,680.0,824.0,3030.0,170.0,160.0,19.0,329.0,3.0,743.0,801.0,1356.0,2036.0,116.0,257.0,1417.0,967.0,270.0,793.0,1586.0,403.0,217.0,47.03,50.59,74.89,53.0,66.0,51.0,3047.22,2206.0,2219.52,388.0,23.84,35.52,35.52,160.84,161.63,154.89,1551.4,152.47,103.37,380.81,52.97,840.73,600.63,143.53,152.8,143.84,1346.0,785.0,908.0,3039.0,137.0,169.0,21.0,267.0,6.0,777.0,775.0,1209.0,1994.0,129.0,281.0,1368.0,1112.0,255.0,743.0,1558.0,396.0,177.0,44.91,49.5,58.07,47.0,47.0,43.0,3038.07,2131.0,2134.67,338.0,22.99,36.21,36.21,139.25,139.58,134.38
VGK,2024,VGK,VGK,Team Level,5on5,50,0.51,0.5,0.51,155428.0,1333.1,114.04,84.9,331.71,44.21,714.35,536.78,109.46,114.78,110.18,1249.0,577.0,708.0,2534.0,113.0,132.0,16.0,285.0,3.0,607.0,686.0,1136.0,1713.0,106.0,233.0,1152.0,920.0,247.0,726.0,1382.0,320.0,124.0,40.68,40.1,33.26,47.0,51.0,15.0,2551.22,1826.0,1839.52,362.0,17.63,27.62,27.62,104.05,104.85,103.01,1270.41,110.04,80.57,324.93,43.53,680.63,507.3,105.18,110.37,105.49,1106.0,641.0,763.0,2510.0,102.0,138.0,18.0,222.0,2.0,619.0,664.0,1004.0,1645.0,122.0,265.0,1119.0,1071.0,228.0,674.0,1321.0,305.0,121.0,37.57,38.77,33.7,43.0,34.0,25.0,2509.07,1747.0,1750.67,310.0,16.72,27.74,27.93,98.83,99.15,97.16
VGK,2024,VGK,VGK,Team Level,4on5,50,0.13,0.11,0.12,9944.0,23.14,2.65,1.51,3.68,0.86,7.51,14.78,2.63,2.65,2.63,21.0,10.0,7.0,38.0,5.0,0.0,0.0,1.0,0.0,5.0,20.0,16.0,26.0,3.0,10.0,85.0,24.0,11.0,17.0,19.0,8.0,4.0,0.56,0.94,1.15,2.0,3.0,0.0,38.0,31.0,31.0,14.0,0.35,0.0,0.0,2.99,2.99,2.96,161.61,18.43,14.44,35.75,5.43,96.99,51.95,17.33,18.43,17.33,141.0,82.0,84.0,307.0,23.0,20.0,2.0,25.0,0.0,97.0,58.0,118.0,200.0,2.0,6.0,93.0,7.0,11.0,26.0,158.0,43.0,22.0,4.43,4.85,9.15,2.0,9.0,12.0,307.0,223.0,223.0,1.0,3.76,4.57,4.38,17.81,17.81,16.86
VGK,2024,VGK,VGK,Team Level,5on4,50,0.94,0.91,0.9,10710.0,194.08,32.72,16.92,38.43,6.23,107.55,54.17,27.32,32.72,27.32,193.0,63.0,77.0,333.0,29.0,21.0,3.0,35.0,0.0,97.0,74.0,164.0,227.0,6.0,12.0,116.0,8.0,4.0,29.0,152.0,51.0,53.0,4.31,6.3,22.11,1.0,8.0,20.0,333.0,256.0,256.0,2.0,4.47,6.04,6.04,31.15,31.15,27.17,22.02,2.09,0.96,3.19,0.65,6.4,14.71,2.07,2.09,2.07,19.0,9.0,6.0,34.0,2.0,2.0,0.0,2.0,0.0,4.0,18.0,17.0,26.0,4.0,8.0,92.0,22.0,7.0,24.0,17.0,9.0,2.0,0.39,1.22,0.49,1.0,1.0,0.0,34.0,28.0,28.0,20.0,0.22,0.44,0.44,1.88,1.88,1.86
NJD,2024,NJD,NJD,Team Level,other,52,0.63,0.57,0.58,8090.0,127.42,33.42,9.65,22.73,4.65,65.11,37.45,30.41,33.42,30.41,108.0,65.0,54.0,227.0,24.0,22.0,1.0,16.0,1.0,65.0,45.0,84.0,149.0,4.0,10.0,83.0,32.0,6.0,21.0,77.0,43.0,53.0,3.3,5.45,24.68,3.0,6.0,15.0,227.0,173.0,173.0,6.0,2.81,6.36,6.36,29.88,29.88,28.21,91.24,19.58,6.36,17.17,3.05,50.78,30.05,17.58,19.58,17.58,77.0,50.0,47.0,174.0,18.0,8.0,0.0,14.0,2.0,45.0,40.0,59.0,109.0,4.0,8.0,75.0,30.0,5.0,24.0,66.0,32.0,29.0,2.83,3.45,13.3,4.0,3.0,11.0,174.0,127.0,127.0,8.0,1.82,1.43,1.93,19.48,19.48,17.69
NJD,2024,NJD,NJD,Team Level,all,52,0.57,0.53,0.52,188818.0,1698.37,191.95,118.33,405.74,57.93,896.36,634.68,180.11,193.1,181.17,1547.0,758.0,988.0,3293.0,159.0,215.0,21.0,305.0,3.0,732.0,891.0,1388.0,2146.0,179.0,411.0,1465.0,1223.0,234.0,785.0,1608.0,450.0,247.0,46.74,56.63,88.58,54.0,48.0,57.0,3319.23,2305.0,2323.53,378.0,26.74,47.07,47.61,171.08,172.0,165.89,1522.24,147.28,101.58,375.59,51.77,824.94,596.85,137.62,146.83,137.18,1339.0,759.0,856.0,2954.0,132.0,158.0,14.0,287.0,4.0,637.0,880.0,1207.0,1966.0,178.0,407.0,1445.0,1161.0,244.0,778.0,1565.0,367.0,166.0,44.61,44.98,57.68,58.0,42.0,32.0,2928.43,2098.0,2082.43,350.0,22.62,30.4,30.48,139.41,138.7,132.56
NJD,2024,NJD,NJD,Team Level,5on5,52,0.54,0.52,0.51,153568.0,1290.41,115.3,83.83,327.21,43.97,685.4,504.29,110.19,116.45,111.24,1156.0,604.0,800.0,2560.0,98.0,153.0,14.0,244.0,1.0,537.0,727.0,1058.0,1662.0,167.0,385.0,1134.0,1135.0,201.0,684.0,1305.0,322.0,133.0,36.72,40.71,37.88,44.0,33.0,21.0,2586.23,1760.0,1778.53,346.0,17.46,30.78,31.33,101.43,102.34,100.53,1207.29,96.51,75.52,312.93,41.24,656.86,486.94,93.17,96.07,92.73,1068.0,602.0,699.0,2369.0,89.0,116.0,10.0,243.0,2.0,501.0,719.0,979.0,1581.0,163.0,377.0,1146.0,1079.0,217.0,683.0,1292.0,287.0,91.0,35.92,35.41,25.18,46.0,33.0,10.0,2343.43,1670.0,1654.42,313.0,15.66,22.17,21.75,90.41,89.71,88.52
NJD,2024,NJD,NJD,Team Level,4on5,52,0.13,0.14,0.16,13789.0,34.9,4.17,1.94,5.08,1.18,11.35,23.27,3.96,4.17,3.96,38.0,9.0,12.0,59.0,3.0,5.0,0.0,2.0,0.0,6.0,31.0,35.0,44.0,3.0,6.0,110.0,29.0,15.0,21.0,29.0,13.0,5.0,0.94,1.74,1.5,2.0,1.0,0.0,59.0,47.0,47.0,15.0,0.44,0.74,0.73,3.89,3.89,3.87,183.95,26.76,17.51,39.68,6.14,105.47,54.43,22.64,26.76,22.64,154.0,96.0,101.0,351.0,23.0,30.0,4.0,28.0,0.0,84.0,85.0,131.0,227.0,7.0,14.0,118.0,20.0,9.0,38.0,175.0,34.0,41.0,4.73,4.25,17.77,6.0,6.0,11.0,351.0,250.0,250.0,2.0,4.65,5.99,5.99,25.42,25.42,22.27
NJD,2024,NJD,NJD,Team Level,5on4,52,0.9,0.88,0.86,13371.0,245.64,39.06,22.9,50.72,8.14,134.5,69.67,35.55,39.06,35.55,245.0,80.0,122.0,447.0,34.0,35.0,6.0,43.0,1.0,124.0,88.0,211.0,291.0,5.0,10.0,138.0,27.0,12.0,59.0,197.0,72.0,56.0,5.79,8.74,24.53,5.0,8.0,21.0,447.0,325.0,325.0,11.0,6.03,9.19,9.19,35.9,35.9,33.29,39.76,4.41,2.19,5.8,1.34,11.83,25.42,4.23,4.41,4.23,40.0,11.0,9.0,60.0,2.0,4.0,0.0,2.0,0.0,7.0,36.0,38.0,49.0,4.0,8.0,106.0,32.0,13.0,33.0,32.0,14.0,5.0,1.13,1.87,1.42,2.0,0.0,0.0,60.0,51.0,51.0,27.0,0.49,0.8,0.8,4.1,4.1,4.08
